,note length,pitch
0,0.0,-3.0
1,0.0,-7.0
2,0.0,5.8
3,-1.0,-1.0
4,0.0,-3.0
5,1.8,-2.0
6,-1.0,0.0
7,0.0,2.8
8,0.4,1.8
9,0.6,0.8
10,-1.4,-1.0
11,0.0,-2.0
12,0.8,1.8
13,-0.6,-2.0
14,0.6,2.8
15,-1.4,-1.0
16,0.0,-2.0
17,0.8,1.8
18,-0.6,-2.0
19,0.2,3.8
20,1.0,4.8
21,-2.0,-1.0
22,0.0,-1.0
23,0.0,-2.0
24,0.2,-3.0
25,0.0,3.8
26,0.4,4.8
27,0.0,-7.0
28,0.8,5.8
29,-3.0,-2.0
30,2.4,0.8
31,-1.6,-1.0
32,0.0,-1.0
33,0.0,-1.0
34,-1.0,-2.0
35,0.8,-1.0
36,-1.0,-9.0
37,0.8,2.8
38,0.0,3.8
39,0.0,-2.0
40,0.0,-2.0
41,-0.6,-6.0
42,0.0,2.8
43,0.0,0.8
44,1.4,0.8
45,-0.6,8.8
46,-1.0,-2.0
47,1.4,0.8
48,-0.6,9.8
49,-1.6,-2.0
50,2.4,0.8
51,-1.0,9.8
52,-0.6,-1.0
53,1.4,-1.0
54,-1.0,-3.0
55,0.4,-4.0
56,0.0,-2.0
57,-1.0,-4.0
58,0.0,4.8
59,0.8,2.8
60,-0.6,-2.0
61,-1.0,-2.0
62,1.0,0.8
63,-1.6,-2.0
64,0.8,-1.0
65,0.0,2.8
66,0.0,-2.0
67,0.0,1.8
68,0.0,0.8
69,0.0,1.8
70,0.0,-4.0
71,0.0,-8.0
72,0.0,3.8
73,0.8,0.8
74,-1.0,3.8
75,-0.6,-1.0
76,0.0,-1.0
77,0.0,-1.0
78,0.4,-1.0
79,0.0,-1.0
80,0.0,-1.0
81,0.0,-8.0
82,0.0,3.8
83,0.0,2.8
84,0.0,-1.0
85,-1.0,-2.0
86,1.4,0.8
87,-0.6,-2.0
88,0.4,-3.0
89,0.6,0.8
90,-0.4,0.8
91,0.0,0.8
92,0.0,0.8
93,0.0,0.8
94,0.0,1.8
95,0.0,0.8
96,0.0,1.8
97,0.8,1.8
98,-2.0,-4.0
99,0.0,-1.0
100,-1.0,-2.0
101,1.4,-1.0
102,-1.0,-4.0
103,0.8,2.8
104,-0.2,-3.0
105,-0.4,0.8
106,0.8,0.8
107,0.0,14.8
108,-1.0,-2.0
109,0.0,-2.0
110,0.8,-1.0
111,-0.6,-2.0
112,0.4,1.8
113,0.0,-8.0
114,-1.0,5.8
115,0.0,-1.0
116,0.0,7.8
117,0.0,8.8
118,0.4,-7.0
119,0.4,0.8
120,-1.0,-8.0
121,0.0,3.8
122,0.0,2.8
123,0.0,-1.0
124,1.4,-7.0
125,-1.6,5.8
126,0.4,-10.0
127,-0.6,7.8
128,0.0,-2.0
129,0.0,-9.0
130,-1.0,0.8
131,1.4,6.8
132,0.4,-2.0
133,-2.0,-9.0
134,1.8,7.8
135,-0.6,-2.0
136,-0.6,-1.0
137,0.0,0.8
138,0.0,-2.0
139,0.0,-2.0
140,0.2,-5.0
141,0.0,-3.0
142,-1.6,-4.0
143,0.0,2.8
144,2.2,7.8
145,-1.4,-2.0
146,0.0,-2.0
147,-1.0,1.8
148,0.8,1.8
149,0.6,2.8
150,-1.4,-6.0
151,0.0,1.8
152,1.4,1.8
153,-1.0,7.8
154,0.4,-3.0
155,-0.6,-2.0
156,-1.0,-2.0
157,0.8,-1.0
158,0.6,1.8
159,-1.4,0.8
160,1.2,1.8
161,-0.8,1.8
162,0.0,-3.0
163,0.0,0.8
164,0.8,3.8
165,0.4,6.8
166,-2.2,-3.0
167,0.0,0.8
168,0.4,1.8
169,0.4,0.8
170,-1.6,-8.0
171,0.0,3.8
172,1.2,2.8
173,-1.0,-1.0
174,0.0,-2.0
175,0.0,0.8
176,0.0,-2.0
177,0.8,-3.0
178,-0.4,0.8
179,0.2,0.8
180,-1.0,-4.0
181,0.0,1.8
182,0.8,-4.0
183,-1.0,-1.0
184,0.4,-1.0
185,0.4,-1.0
186,-0.6,-1.0
187,0.2,-2.0
188,-1.0,0.8
189,0.8,-3.0
190,-0.4,0.8
191,0.2,3.8
192,-1.0,2.8
193,0.0,1.8
194,1.4,0.8
195,0.0,10.8
196,-1.0,-13.0
197,0.4,0.8
198,-0.6,10.8
199,0.2,-2.0
200,0.0,-2.0
201,0.8,-1.0
202,-1.4,-6.0
203,0.0,-3.0
204,0.0,-4.0
205,-1.0,-3.0
206,0.0,7.8
207,0.8,0.8
208,0.0,-2.0
209,0.8,2.8
210,0.0,2.8
211,-0.6,-3.0
212,-0.6,0.0
213,0.8,6.8
214,0.4,-7.0
215,-1.0,8.8
216,0.4,-9.0
217,0.0,0.0
218,-1.6,10.8
219,0.0,0.8
220,0.4,-3.0
221,0.0,1.8
222,0.0,-4.0
223,0.8,-3.0
224,-1.0,-2.0
225,0.0,-1.0
226,0.0,-3.0
227,0.0,-1.0
228,0.0,-2.0
229,0.0,-3.0
230,-1.0,0.8
231,1.2,3.8
232,-1.0,2.8
233,0.0,3.8
234,0.4,2.8
235,0.0,-4.0
236,0.0,-4.0
237,0.0,-3.0
238,0.0,-1.0
239,2.2,9.8
240,-2.4,0.8
241,0.8,0.8
242,-1.0,0.0
243,0.0,-1.0
244,0.0,-1.0
245,0.0,4.8
246,0.0,-7.0
247,0.0,2.8
248,0.0,2.8
249,0.0,-3.0
250,0.8,1.8
251,-1.0,-4.0
252,0.0,2.8
253,0.4,-6.0
254,-1.0,3.8
255,0.4,-2.0
256,0.4,-4.0
257,-1.6,3.8
258,0.0,-2.0
259,0.0,-2.0
260,0.8,-3.0
261,0.4,-2.0
262,-1.6,1.8
263,0.0,0.8
264,0.0,0.8
265,0.8,-4.0
266,0.8,0.8
267,-1.0,-5.0
268,0.0,2.8
269,-1.0,1.8
270,1.4,-3.0
271,-1.6,-4.0
272,1.4,-2.0
273,-1.6,-3.0
274,1.8,-1.0
275,-0.6,13.8
276,0.4,-8.0
277,-1.0,2.8
278,-1.0,2.8
279,0.4,3.8
280,0.0,3.8
281,0.0,-1.0
282,-0.6,-1.0
283,0.0,-2.0
284,0.0,-1.0
285,0.0,-2.0
286,0.8,-2.0
287,-1.0,-1.0
288,0.0,-1.0
289,0.4,-1.0
290,0.0,-1.0
291,0.0,-2.0
292,-0.6,0.8
293,0.0,-2.0
294,0.0,-1.0
295,0.0,-2.0
296,0.8,-1.0
297,-1.0,9.8
298,0.0,-4.0
299,0.4,-2.0
300,0.0,3.8
301,0.0,-1.0
302,0.0,-1.0
303,0.0,1.8
304,0.0,-2.0
305,-0.6,1.8
306,0.0,2.8
307,0.0,3.8
308,0.8,-6.0
309,-1.2,0.8
310,0.8,2.8
311,-1.0,-1.0
312,0.2,-1.0
313,0.0,1.8
314,0.8,1.8
315,-1.0,5.8
316,0.0,0.8
317,0.8,2.8
318,-1.6,-5.0
319,0.8,0.8
320,-1.0,-4.0
321,0.0,-3.0
322,0.0,-2.0
323,1.4,0.8
324,0.0,-4.0
325,-1.0,0.8
326,0.0,2.8
327,0.0,2.8
328,0.0,3.8
329,0.8,-5.0
330,0.6,2.8
331,-1.4,-1.0
332,0.0,-2.0
333,0.4,0.8
334,0.0,1.8
335,0.0,1.8
336,0.0,2.8
337,1.4,3.8
338,-1.6,-7.0
339,0.4,0.0
340,0.0,0.0
341,0.6,0.0
342,-0.4,0.8
343,0.8,7.8
344,-2.0,-7.0
345,0.0,2.8
346,0.0,-2.0
347,0.0,-1.0
348,0.0,-2.0
349,0.4,-1.0
350,-1.0,2.8
351,0.4,-2.0
352,0.8,1.8
353,-1.0,1.8
354,0.4,0.8
355,-1.0,-2.0
356,0.4,0.8
357,0.0,-2.0
358,0.0,0.0
359,0.0,-4.0
360,-0.6,2.8
361,0.0,-1.0
362,0.0,-3.0
363,0.4,0.8
364,0.0,-3.0
365,0.0,-4.0
366,0.0,-3.0
367,0.0,1.8
368,0.0,2.8
369,0.4,0.0
370,-2.6,1.8
371,2.2,2.8
372,0.8,2.8
373,0.0,0.0
374,-0.8,-3.0
375,0.8,-3.0
376,-1.0,9.8
377,-0.6,-2.0
378,-2.0,-2.0
379,2.4,-3.0
380,0.4,0.0
381,-0.2,0.0
382,-1.0,2.8
383,0.0,0.8
384,0.0,-9.0
385,0.0,1.8
386,0.4,2.8
387,0.0,1.8
388,-0.6,-2.0
389,0.4,2.8
390,0.6,-3.0
391,-0.4,-3.0
392,-0.6,16.8
393,0.0,0.8
394,-0.6,-3.0
395,0.0,-2.0
396,-1.0,-3.0
397,1.4,-2.0
398,-0.6,-2.0
399,0.0,1.8
400,-1.0,-1.0
401,1.4,0.8
402,-0.6,-2.0
403,0.8,1.8
404,-1.0,-2.0
405,1.2,3.8
406,-0.8,12.8
407,0.4,-2.0
408,0.2,-1.0
409,-2.4,-2.0
410,0.8,0.8
411,0.0,-4.0
412,0.0,1.8
413,0.0,-5.0
414,0.0,0.0
415,0.0,-2.0
416,0.4,-1.0
417,0.0,5.8
418,-0.6,-5.0
419,0.0,-3.0
420,0.0,-3.0
421,0.0,-1.0
422,0.0,-2.0
423,-1.0,-3.0
424,0.8,0.8
425,0.8,0.8
426,-0.8,10.8
427,0.0,0.8
428,0.4,-4.0
429,0.0,3.8
430,-1.0,1.8
431,0.8,-6.0
432,-0.6,4.8
433,-0.6,1.8
434,0.0,-1.0
435,0.0,-2.0
436,0.0,-2.0
437,-1.0,-2.0
438,0.8,-1.0
439,0.0,-2.0
440,0.0,-1.0
441,0.0,2.8
442,0.0,-2.0
443,0.0,1.8
444,0.0,0.8
445,0.0,0.8
446,0.0,0.8
447,0.0,1.8
448,0.0,1.8
449,0.0,2.8
450,0.0,-3.0
451,0.0,0.8
452,0.0,3.8
453,0.0,2.8
454,0.4,1.8
455,-0.6,1.8
456,0.0,-4.0
457,0.0,-1.0
458,-1.0,-3.0
459,1.8,-3.0
460,0.0,0.0
461,0.0,0.0
462,-1.0,0.0
463,0.0,0.0
464,-1.0,0.0
465,0.0,0.0
466,0.0,0.0
467,0.8,0.0
468,-1.0,0.0
469,0.8,0.0
470,1.8,3.8
471,-1.0,-4.0
472,0.8,0.0
473,-2.0,0.0
474,-1.0,0.0
475,0.0,0.0
476,0.8,0.0
477,0.0,0.0
478,-1.0,0.0
479,0.4,0.0
480,0.0,0.0
481,0.0,0.0
482,0.4,6.8
483,0.8,-7.0
484,0.0,0.0
485,-0.6,8.8
486,-0.6,-2.0
487,0.0,-1.0
488,0.0,-3.0
489,0.0,0.0
490,-1.0,-1.0
491,1.4,-1.0
492,-0.6,-1.0
493,0.0,-3.0
494,0.4,-2.0
495,-0.6,-5.0
496,-1.0,5.8
497,0.0,-3.0
498,0.0,-3.0
499,0.8,-2.0
500,0.0,-4.0
501,0.0,2.8
502,0.0,2.8
503,0.0,2.8
504,0.4,3.8
505,-1.6,1.8
506,0.8,0.8
507,0.0,-1.0
508,0.0,-2.0
509,0.0,-2.0
510,0.4,-3.0
511,-1.6,1.8
512,0.0,-1.0
513,0.8,-2.0
514,0.0,0.8
515,-1.0,-5.0
516,1.4,2.8
517,-0.2,-4.0
518,-0.4,-3.0
519,-1.0,-5.0
520,0.8,2.8
521,0.0,-1.0
522,-1.0,13.8
523,1.8,0.8
524,-1.0,-2.0
525,0.0,-2.0
526,0.4,-3.0
527,0.0,-3.0
528,0.4,5.8
529,-1.0,-3.0
530,-0.6,5.8
531,0.0,0.8
532,0.0,2.8
533,0.4,-4.0
534,0.0,-6.0
535,-1.0,5.8
536,0.0,0.8
537,0.0,1.8
538,0.8,-3.0
539,-1.0,-1.0
540,0.0,-2.0
541,0.8,1.8
542,-1.0,-2.0
543,0.0,-3.0
544,0.0,-2.0
545,0.8,-3.0
546,0.0,-1.0
547,-1.0,-1.0
548,0.0,-2.0
549,0.8,-3.0
550,-0.6,4.8
551,0.0,-5.0
552,0.0,2.8
553,0.0,0.8
554,0.0,2.8
555,0.0,1.8
556,0.8,2.8
557,0.2,1.8
558,-0.8,-2.0
559,-1.0,-2.0
560,0.0,-3.0
561,0.0,-4.0
562,0.0,1.8
563,0.4,0.8
564,0.0,-1.0
565,0.0,-2.0
566,0.4,-3.0
567,0.4,4.8
568,0.0,-2.0
569,-1.6,-7.0
570,0.0,0.8
571,1.6,2.8
572,0.0,0.0
