,note length,pitch
0,0.0,1.8
1,-0.6,1.8
2,0.0,-2.0
3,0.0,0.0
4,-0.6,-2.0
5,0.0,-3.0
6,0.0,-4.0
7,0.0,-3.0
8,0.8,0.8
9,-1.0,-8.0
10,0.0,0.8
11,-0.4,2.8
12,0.0,2.8
13,0.0,0.8
14,0.0,1.8
15,0.0,1.8
16,0.6,0.8
17,0.0,1.8
18,0.0,0.0
19,0.0,-1.0
20,0.8,0.8
21,-1.6,-2.0
22,0.0,1.8
23,0.8,-5.0
24,0.8,-2.0
25,-1.0,1.8
26,0.0,-2.0
27,0.0,1.8
28,-1.0,-7.0
29,0.0,4.8
30,0.0,2.8
31,0.0,1.8
32,0.0,1.8
33,0.0,-1.0
34,0.0,-12.0
35,0.0,3.8
36,0.0,2.8
37,0.0,4.8
38,0.0,3.8
39,0.0,-2.0
40,0.0,-2.0
41,1.8,-1.0
42,-2.0,1.8
43,0.0,0.0
44,0.0,-2.0
45,0.0,1.8
46,0.8,-2.0
47,0.0,1.8
48,-1.0,4.8
49,0.8,0.0
50,0.0,0.0
51,0.0,-1.0
52,-1.0,-1.0
53,0.8,-1.0
54,0.0,-1.0
55,0.0,0.8
56,0.0,0.8
57,0.0,-3.0
58,-1.0,0.0
59,0.0,2.8
60,0.0,-2.0
61,0.8,1.8
62,-1.0,-3.0
63,0.0,-5.0
64,0.0,-1.0
65,0.8,-1.0
66,0.4,13.8
67,-1.6,-2.0
68,0.0,-2.0
69,0.0,-3.0
70,0.0,-5.0
71,0.0,-1.0
72,0.0,-1.0
73,0.2,-2.0
74,1.0,-5.0
75,-1.6,0.8
76,0.0,3.8
77,0.0,2.8
78,0.0,1.8
79,0.2,2.8
80,0.0,0.0
81,1.2,-1.0
82,-1.8,2.8
83,0.0,-1.0
84,0.0,-2.0
85,0.0,-6.0
86,0.0,0.8
87,0.0,1.8
88,0.0,2.8
89,0.0,1.8
90,0.0,0.8
91,0.0,-1.0
92,0.4,-2.0
93,0.8,-3.0
94,0.4,-2.0
95,-1.0,1.8
96,0.0,14.8
97,0.0,0.0
98,0.0,0.0
99,-1.0,-15.0
100,0.0,11.8
101,0.0,2.8
102,0.0,-1.0
103,0.0,-15.0
104,0.0,11.8
105,0.0,2.8
106,0.0,-1.0
107,0.0,-9.0
108,0.0,5.8
109,0.0,2.8
110,0.0,-1.0
111,0.0,-6.0
112,0.0,5.8
113,0.0,-2.0
114,-0.4,-2.0
115,0.0,-3.0
116,0.0,-5.0
117,0.0,-1.0
118,1.0,-1.0
119,-1.0,-2.0
120,0.0,-3.0
121,0.8,-1.0
122,-1.2,0.8
123,0.0,2.8
124,0.0,1.8
125,1.0,1.8
126,-1.0,2.8
127,0.0,1.8
128,0.0,-1.0
129,0.8,2.8
130,-1.0,0.0
131,0.8,0.0
132,0.0,-2.0
133,0.0,2.8
134,-1.0,-3.0
135,0.8,1.8
136,-1.0,0.8
137,0.8,-3.0
138,-1.0,1.8
139,1.4,0.8
140,-0.6,-3.0
141,-1.0,0.8
142,0.0,1.8
143,0.0,4.8
144,1.4,1.8
145,0.0,-3.0
146,-2.2,-2.0
147,1.0,-2.0
148,-1.0,-3.0
149,0.0,-5.0
150,0.0,-1.0
151,0.0,-1.0
152,0.8,-2.0
153,1.8,-4.0
154,-3.0,3.8
155,0.0,2.8
156,0.0,4.8
157,0.0,3.8
158,0.0,-2.0
159,1.8,-2.0
160,0.4,-1.0
161,-2.6,-3.0
162,0.0,3.8
163,0.0,0.8
164,0.0,0.8
165,0.0,2.8
166,0.0,-3.0
167,0.0,0.8
168,0.4,0.8
169,0.4,2.8
170,-1.0,-17.0
171,0.0,2.8
