,note length,pitch
0,0.4,2.8
1,-1.6,-3.0
2,0.4,0.8
3,0.4,1.8
4,0.2,-3.0
5,0.6,0.8
6,-1.0,0.0
7,-0.6,-1.0
8,1.0,2.8
9,-1.0,8.8
10,-1.6,-2.0
11,1.8,-2.0
12,-1.0,1.8
13,0.0,-2.0
14,0.0,-1.0
15,0.0,-2.0
16,0.0,-2.0
17,0.0,-2.0
18,0.0,-2.0
19,-1.0,0.8
20,1.4,0.8
21,-0.6,-2.0
22,0.0,0.8
23,0.0,-4.0
24,-0.6,13.8
25,0.0,1.8
26,1.4,2.8
27,0.0,-2.0
28,-0.6,-7.0
29,0.0,3.8
30,-0.6,-2.0
31,0.4,-1.0
32,-1.6,-2.0
33,1.4,-2.0
34,-0.6,-1.0
35,0.0,-1.0
36,0.0,-8.0
37,0.0,2.8
38,0.0,3.8
39,-1.0,-2.0
40,0.0,1.8
41,0.8,-2.0
42,0.0,-2.0
43,0.0,-3.0
44,0.0,0.8
45,0.0,1.8
46,-0.6,-2.0
47,0.0,1.8
48,0.0,-2.0
49,0.4,-1.0
50,0.0,-2.0
51,0.0,-1.0
52,0.0,5.8
53,0.0,2.8
54,0.0,0.8
55,0.0,0.8
56,0.0,0.8
57,0.8,0.8
58,-1.0,-7.0
59,0.0,3.8
60,0.4,-1.0
61,0.0,-1.0
62,-0.6,-4.0
63,0.4,-1.0
64,-1.0,-2.0
65,1.0,4.8
66,-1.6,-3.0
67,0.8,0.8
68,0.0,1.8
69,-0.6,-2.0
70,0.0,1.8
71,0.0,-2.0
72,0.4,-1.0
73,0.8,-2.0
74,-1.0,1.8
75,2.4,-3.0
76,-2.0,4.8
77,-1.6,1.8
78,1.4,0.8
79,-1.6,-1.0
80,1.4,-2.0
81,-0.6,-2.0
82,0.8,-1.0
83,-1.0,5.8
84,0.0,2.8
85,0.0,-1.0
86,0.0,-2.0
87,-0.6,-1.0
88,0.0,2.8
89,0.0,1.8
90,0.4,4.8
91,0.0,2.8
92,0.4,-1.0
93,1.0,1.8
94,-1.4,-6.0
95,-1.0,1.8
96,1.2,4.8
97,-0.8,2.8
98,1.4,-1.0
99,-2.0,-5.0
100,1.2,2.8
101,0.2,-2.0
102,-2.0,-10.0
103,1.2,7.8
104,-1.0,-1.0
105,0.8,-1.0
106,-0.4,-2.0
107,0.4,-1.0
108,-0.6,-3.0
109,0.0,0.8
110,1.4,-5.0
111,-1.6,6.8
112,0.8,11.8
113,0.4,-3.0
114,-1.0,2.8
115,0.4,-3.0
116,0.2,2.8
117,-0.8,-3.0
118,0.6,2.8
119,-0.8,-3.0
120,0.8,2.8
121,-0.2,-3.0
122,-0.6,-4.0
123,-1.4,-3.0
124,1.6,4.8
125,-0.6,-2.0
126,-1.6,-2.0
127,0.8,-1.0
128,0.0,-2.0
129,1.2,-2.0
130,-1.4,-1.0
131,0.0,-4.0
132,0.4,-1.0
133,0.0,2.8
134,-0.6,-4.0
135,0.0,1.8
136,0.0,-3.0
137,0.0,0.8
138,0.0,1.8
139,-0.6,-2.0
140,0.0,1.8
141,0.0,-2.0
142,0.4,-1.0
143,0.8,-2.0
144,-1.0,4.8
145,0.0,2.8
146,-1.0,0.8
147,1.4,0.8
148,-0.6,0.8
149,0.8,0.8
150,-1.0,-7.0
151,-1.0,3.8
152,2.2,-1.0
153,-1.4,-1.0
154,0.0,-4.0
155,0.8,-1.0
156,-0.6,2.8
157,0.0,0.0
