,note length,pitch
0,-1.0,1.8
1,1.8,1.8
2,-0.6,0.8
3,0.4,1.8
4,0.0,-2.0
5,-1.0,1.8
6,1.8,-3.0
7,-1.0,-2.0
8,0.2,1.8
9,0.2,-3.0
10,-0.6,0.0
11,0.0,-4.0
12,-1.0,-4.0
13,0.0,3.8
14,0.0,4.8
15,0.0,1.8
16,0.0,0.8
17,0.0,0.8
18,0.0,0.8
19,0.0,-2.0
20,0.0,-3.0
21,0.0,-2.0
22,0.0,-5.0
23,1.4,1.8
24,-1.6,9.8
25,0.0,-2.0
26,0.0,-3.0
27,0.0,-4.0
28,0.0,-3.0
29,0.6,-5.0
30,-0.4,2.8
31,0.4,-3.0
32,0.8,6.8
33,-1.6,-2.0
34,0.0,-4.0
35,0.4,0.8
36,0.4,9.8
37,0.6,-2.0
38,-1.4,3.8
39,-1.0,-3.0
40,2.4,0.8
41,-2.0,3.8
42,0.4,-4.0
43,0.8,1.8
44,-1.0,3.8
45,-0.6,-4.0
46,0.0,1.8
47,-0.6,-4.0
48,0.8,1.8
49,0.8,-3.0
50,-1.0,2.8
51,0.2,-4.0
52,-0.4,0.0
53,0.0,0.8
54,0.0,0.0
55,-0.6,0.8
56,0.6,0.0
57,-0.4,0.0
58,0.0,0.0
59,0.0,0.8
60,0.0,0.0
61,0.4,0.8
62,-0.2,0.0
63,-1.4,0.8
64,0.8,1.8
65,0.0,-3.0
66,-0.6,0.8
67,-1.6,0.0
68,1.8,-3.0
69,-1.0,1.8
70,0.8,0.8
71,0.2,-1.0
72,-0.8,-2.0
73,0.0,-5.0
74,-0.4,-5.0
75,0.4,0.8
76,0.4,3.8
77,-0.6,-2.0
78,-1.0,6.8
79,1.8,2.8
80,-2.0,1.8
81,0.0,-2.0
82,0.0,-3.0
83,0.0,-4.0
84,0.4,-1.0
85,0.6,-2.0
86,-0.6,-1.0
87,0.8,0.8
88,-1.6,7.8
89,1.4,0.8
90,0.4,-4.0
91,-0.6,-3.0
92,0.0,7.8
93,-0.6,-3.0
94,0.4,-9.0
95,-1.6,2.8
96,1.8,0.8
97,-0.6,0.0
98,0.2,-4.0
99,0.0,3.8
100,-0.8,2.8
101,0.0,0.0
