,index,note length,pitch
0,1,0.0,1.0
1,3,0.0,-2.0
2,5,1.0,1.0
3,7,-2.0,5.0
4,9,2.0,1.0
5,11,-1.0,-3.0
6,13,0.0,1.0
7,15,-1.0,-1.0
8,17,1.0,-2.0
9,19,-1.0,-1.0
10,21,-0.0,-4.0
11,23,1.0,2.0
12,25,0.0,-3.0
13,27,0.0,0.0
14,29,0.0,0.0
15,31,1.0,0.0
16,33,1.0,2.0
17,35,-2.0,-5.0
18,37,0.0,3.0
19,39,0.0,-3.0
20,41,-1.0,-1.0
21,43,1.0,6.0
22,45,0.0,-5.0
23,47,0.0,-2.0
24,49,0.0,8.0
25,51,0.0,-6.0
26,53,0.0,-2.0
27,55,0.0,8.0
28,57,0.0,1.0
29,59,0.0,-4.0
30,61,0.0,-5.0
31,63,0.0,-3.0
32,65,0.0,-2.0
33,67,0.0,3.0
34,69,0.0,8.0
35,71,0.0,-2.0
36,73,0.0,-4.0
37,75,0.0,1.0
38,77,0.0,1.0
39,79,-1.0,0.0
40,81,0.0,2.0
41,83,0.0,1.0
42,85,0.0,4.0
43,87,0.0,7.0
44,89,1.0,-6.0
45,91,0.0,1.0
46,93,0.0,-2.0
47,95,0.0,-2.0
48,97,0.0,3.0
49,99,1.0,-10.0
50,101,-0.0,1.0
51,103,0.0,1.0
52,105,-2.0,-4.0
53,107,1.0,2.0
54,109,-1.0,10.0
55,111,0.0,-1.0
56,113,0.0,-1.0
57,115,1.0,1.0
58,117,0.0,-2.0
59,119,0.0,-2.0
60,121,0.0,-4.0
61,123,-1.0,9.0
62,125,4.0,2.0
63,127,-2.0,2.0
64,129,-1.0,-4.0
65,131,1.0,2.0
66,133,0.0,-3.0
67,135,0.0,1.0
68,137,-2.0,0.0
69,139,3.0,2.0
70,141,-2.0,-3.0
71,143,0.0,-2.0
72,145,-1.0,-2.0
73,147,2.0,2.0
74,149,1.0,2.0
75,151,-3.0,1.0
76,153,0.0,2.0
77,155,2.0,1.0
78,157,-1.0,1.0
79,159,-1.0,-2.0
80,161,2.0,-2.0
81,163,-1.0,-2.0
82,165,0.0,-1.0
83,167,-1.0,-6.0
84,169,1.0,5.0
85,171,-1.0,1.0
86,173,0.0,1.0
87,175,2.0,-3.0
88,177,1.0,-2.0
89,179,-1.0,11.0
90,181,-1.0,-1.0
91,183,-1.0,-2.0
92,185,1.0,1.0
93,187,-1.0,-2.0
94,189,1.0,1.0
95,191,0.0,1.0
96,193,-0.0,-5.0
97,195,1.0,0.0
98,197,0.0,-3.0
99,199,-1.0,3.0
100,201,1.0,-1.0
101,203,-1.0,-4.0
102,205,0.0,-4.0
103,207,-1.0,6.0
104,209,1.0,1.0
105,211,1.0,2.0
106,213,-1.0,-3.0
107,215,0.0,1.0
108,217,0.0,2.0
109,219,0.0,2.0
110,221,-1.0,1.0
111,223,2.0,2.0
112,225,-2.0,-5.0
113,227,2.0,1.0
114,229,-1.0,-2.0
115,231,0.0,-4.0
116,233,0.0,-4.0
117,235,1.0,3.0
118,237,-1.0,1.0
119,239,1.0,-3.0
120,241,-2.0,12.0
121,243,1.0,1.0
122,245,2.0,6.0
123,247,-2.0,-6.0
124,249,0.0,-3.0
125,251,-1.0,-2.0
126,253,-1.0,3.0
127,255,2.0,4.0
128,257,-1.0,-14.0
129,259,0.0,9.0
130,261,1.0,-2.0
131,263,-1.0,9.0
132,265,3.0,3.0
133,267,-3.0,-1.0
134,269,3.0,2.0
135,271,-3.0,-4.0
136,273,1.0,-2.0
137,275,0.0,-2.0
138,277,-1.0,-3.0
139,279,1.0,1.0
140,281,1.0,-1.0
141,283,-1.0,-4.0
142,285,-1.0,11.0
143,287,2.0,3.0
