,index,note length,pitch
0,1,1.0,1.0
1,3,2.0,11.0
2,5,-2.0,-2.0
3,7,0.0,-5.0
4,9,-0.0,-4.0
5,11,-1.0,-1.0
6,13,0.0,1.0
7,15,0.0,-1.0
8,17,0.0,-2.0
9,19,2.0,5.0
10,21,-0.0,-5.0
11,23,0.0,8.0
12,25,0.0,4.0
13,27,0.0,4.0
14,29,0.0,3.0
15,31,0.0,1.0
16,33,1.0,-4.0
17,35,-2.0,-8.0
18,37,0.0,1.0
19,39,0.0,1.0
20,41,1.0,2.0
21,43,0.0,-4.0
22,45,-1.0,-4.0
23,47,2.0,3.0
24,49,-1.0,-4.0
25,51,-1.0,1.0
26,53,0.0,-1.0
27,55,0.0,-3.0
28,57,1.0,3.0
29,59,-1.0,-1.0
30,61,0.0,4.0
31,63,0.0,4.0
32,65,0.0,4.0
33,67,0.0,-4.0
34,69,0.0,-3.0
35,71,0.0,2.0
36,73,0.0,3.0
37,75,0.0,-1.0
38,77,0.0,-1.0
39,79,0.0,-1.0
40,81,0.0,-2.0
41,83,0.0,-5.0
42,85,0.0,4.0
43,87,0.0,3.0
44,89,1.0,-2.0
45,91,-1.0,-1.0
46,93,0.0,-1.0
47,95,0.0,-3.0
48,97,0.0,2.0
49,99,0.0,-2.0
50,101,0.0,-2.0
51,103,0.0,-1.0
52,105,0.0,-4.0
53,107,-1.0,6.0
54,109,0.0,1.0
55,111,0.0,3.0
56,113,0.0,4.0
57,115,1.0,3.0
58,117,0.0,-4.0
59,119,-1.0,-4.0
60,121,0.0,-2.0
61,123,1.0,-7.0
62,125,0.0,8.0
63,127,0.0,-1.0
64,129,0.0,-2.0
65,131,1.0,2.0
66,133,1.0,-9.0
67,135,-1.0,10.0
68,137,1.0,4.0
69,139,1.0,7.0
70,141,-2.0,-2.0
71,143,0.0,-3.0
72,145,1.0,1.0
73,147,-2.0,-1.0
74,149,2.0,1.0
75,151,-2.0,-1.0
76,153,2.0,1.0
77,155,-2.0,-1.0
78,157,2.0,1.0
79,159,-2.0,-1.0
80,161,2.0,1.0
81,163,-2.0,-1.0
82,165,1.0,1.0
83,167,1.0,-2.0
84,169,-1.0,-3.0
85,171,-1.0,-2.0
86,173,2.0,5.0
87,175,0.0,-6.0
88,177,-1.0,5.0
89,179,-1.0,8.0
90,181,0.0,2.0
91,183,0.0,-2.0
92,185,0.0,-3.0
93,187,1.0,3.0
94,189,1.0,-4.0
95,191,-1.0,0.0
96,193,-1.0,-2.0
97,195,1.0,1.0
98,197,0.0,-8.0
99,199,0.0,4.0
100,201,0.0,8.0
101,203,0.0,4.0
102,205,2.0,3.0
103,207,-3.0,-14.0
104,209,1.0,5.0
105,211,0.0,3.0
106,213,0.0,4.0
107,215,1.0,4.0
108,217,-3.0,-4.0
109,219,0.0,-4.0
110,221,0.0,-1.0
111,223,0.0,-2.0
112,225,0.0,5.0
113,227,0.0,-1.0
114,229,0.0,-1.0
115,231,0.0,-4.0
116,233,0.0,3.0
117,235,0.0,-3.0
118,237,0.0,1.0
119,239,0.0,-2.0
120,241,0.0,-1.0
121,243,0.0,-2.0
122,245,0.0,-2.0
123,247,0.0,-3.0
124,249,0.0,1.0
125,251,0.0,-1.0
126,253,0.0,-2.0
127,255,0.0,-1.0
128,257,0.0,3.0
129,259,0.0,-2.0
130,261,0.0,-5.0
131,263,0.0,3.0
132,265,0.0,-1.0
133,267,0.0,-2.0
134,269,0.0,-2.0
135,271,1.0,-1.0
136,273,2.0,10.0
137,275,-2.0,-2.0
138,277,0.0,-5.0
139,279,2.0,-4.0
140,281,-3.0,5.0
141,283,0.0,2.0
142,285,1.0,2.0
143,287,-1.0,2.0
144,289,0.0,2.0
145,291,0.0,1.0
146,293,1.0,2.0
147,295,-1.0,1.0
148,297,1.0,2.0
149,299,-1.0,2.0
150,301,0.0,0.0
151,303,1.0,0.0
152,305,-1.0,2.0
153,307,1.0,0.0
154,309,-1.0,0.0
155,311,1.0,2.0
156,313,0.0,-13.0
157,315,-1.0,2.0
158,317,0.0,2.0
159,319,1.0,2.0
160,321,-1.0,2.0
161,323,0.0,1.0
162,325,1.0,2.0
163,327,-1.0,1.0
164,329,0.0,0.0
165,331,0.0,0.0
166,333,0.0,0.0
167,335,0.0,0.0
168,337,1.0,0.0
169,339,0.0,-4.0
170,341,-1.0,-3.0
171,343,2.0,1.0
172,345,-1.0,-4.0
173,347,0.0,-3.0
174,349,0.0,-4.0
175,351,1.0,0.0
176,353,-1.0,9.0
177,355,-1.0,1.0
178,357,0.0,-1.0
179,359,1.0,-3.0
180,361,-1.0,-4.0
181,363,2.0,-3.0
182,365,-2.0,-4.0
183,367,0.0,7.0
184,369,0.0,2.0
185,371,0.0,1.0
186,373,0.0,2.0
187,375,-1.0,2.0
188,377,0.0,2.0
189,379,0.0,2.0
190,381,1.0,3.0
191,383,-1.0,-3.0
192,385,1.0,1.0
193,387,0.0,2.0
194,389,0.0,1.0
195,391,0.0,-5.0
196,393,0.0,1.0
197,395,0.0,3.0
198,397,0.0,-2.0
199,399,0.0,-2.0
200,401,0.0,-1.0
201,403,0.0,-2.0
202,405,0.0,-2.0
203,407,0.0,-2.0
204,409,0.0,-3.0
205,411,1.0,1.0
206,413,-1.0,10.0
207,415,1.0,1.0
208,417,-1.0,-2.0
209,419,1.0,-2.0
210,421,0.0,-5.0
211,423,-1.0,13.0
212,425,3.0,1.0
213,427,-2.0,0.0
214,429,-1.0,-4.0
215,431,0.0,1.0
216,433,0.0,-1.0
217,435,0.0,-4.0
218,437,0.0,-3.0
219,439,0.0,-1.0
220,441,0.0,-1.0
221,443,0.0,-1.0
222,445,0.0,-2.0
223,447,0.0,1.0
224,449,0.0,3.0
225,451,0.0,3.0
226,453,1.0,4.0
227,455,-1.0,-5.0
228,457,0.0,3.0
229,459,0.0,-2.0
230,461,1.0,-4.0
231,463,-1.0,8.0
232,465,0.0,2.0
233,467,0.0,1.0
234,469,0.0,2.0
235,471,0.0,2.0
236,473,1.0,2.0
237,475,-1.0,-2.0
238,477,0.0,-2.0
239,479,0.0,-1.0
240,481,0.0,-1.0
241,483,0.0,-8.0
242,485,0.0,4.0
243,487,0.0,3.0
244,489,0.0,-3.0
245,491,0.0,1.0
246,493,0.0,2.0
247,495,0.0,-3.0
248,497,-0.0,1.0
249,499,1.0,-5.0
250,501,-1.0,-4.0
251,503,0.0,-3.0
252,505,0.0,10.0
253,507,0.0,2.0
254,509,0.0,-5.0
255,511,0.0,1.0
256,513,0.0,1.0
257,515,0.0,-2.0
258,517,0.0,-1.0
259,519,0.0,-3.0
260,521,0.0,6.0
261,523,0.0,-3.0
262,525,0.0,1.0
263,527,-1.0,2.0
264,529,1.0,1.0
265,531,-1.0,3.0
266,533,0.0,1.0
267,535,1.0,4.0
268,537,-1.0,3.0
269,539,2.0,-3.0
270,541,-1.0,1.0
271,543,0.0,-1.0
272,545,0.0,-4.0
273,547,0.0,-4.0
274,549,1.0,-3.0
275,551,-2.0,-5.0
276,553,0.0,5.0
277,555,0.0,3.0
278,557,0.0,4.0
279,559,0.0,3.0
280,561,1.0,-3.0
281,563,0.0,1.0
282,565,0.0,1.0
283,567,0.0,-4.0
284,569,0.0,2.0
285,571,1.0,-4.0
286,573,0.0,2.0
287,575,-1.0,-5.0
288,577,0.0,5.0
289,579,0.0,2.0
290,581,1.0,1.0
291,583,0.0,-6.0
292,585,-2.0,10.0
293,587,0.0,1.0
294,589,2.0,1.0
295,591,-0.0,-6.0
296,593,0.0,-6.0
297,595,0.0,-4.0
298,597,1.0,5.0
299,599,-1.0,-3.0
300,601,0.0,1.0
301,603,1.0,-3.0
302,605,-2.0,-5.0
303,607,2.0,3.0
304,609,0.0,4.0
305,611,-1.0,-4.0
306,613,-1.0,3.0
307,615,0.0,6.0
308,617,2.0,1.0
309,619,-1.0,-4.0
310,621,0.0,-1.0
311,623,2.0,2.0
312,625,-1.0,-2.0
313,627,1.0,2.0
314,629,-2.0,-7.0
315,631,1.0,4.0
316,633,-2.0,-7.0
317,635,1.0,3.0
318,637,1.0,4.0
319,639,-2.0,-1.0
320,641,1.0,1.0
321,643,-1.0,1.0
322,645,1.0,1.0
323,647,1.0,-3.0
324,649,-1.0,-4.0
325,651,-1.0,-2.0
326,653,1.0,8.0
327,655,-1.0,1.0
328,657,1.0,-4.0
329,659,1.0,-3.0
330,661,-1.0,-5.0
331,663,0.0,1.0
332,665,-1.0,2.0
333,667,1.0,2.0
334,669,0.0,3.0
335,671,1.0,4.0
336,673,0.0,3.0
337,675,-0.0,-2.0
338,677,-1.0,-5.0
339,679,1.0,-4.0
340,681,1.0,2.0
341,683,-1.0,-2.0
342,685,0.0,6.0
343,687,0.0,-4.0
344,689,1.0,-3.0
345,691,-2.0,-1.0
346,693,0.0,-1.0
347,695,3.0,2.0
348,697,-2.0,0.0
349,699,-1.0,-4.0
350,701,0.0,-2.0
351,703,4.0,-1.0
352,705,0.0,0.0
