,note length,pitch
0,0.0,1.0
1,0.0,1.0
2,2.0,1.0
3,-1.0,-3.0
4,0.0,1.0
5,1.0,2.0
6,0.0,-3.0
7,-1.0,-2.0
8,1.0,-2.0
9,1.0,2.0
10,-2.0,-2.0
11,-1.0,-1.0
12,1.0,1.0
13,-1.0,4.0
14,0.0,3.0
15,1.0,4.0
16,0.0,-1.0
17,0.0,-1.0
18,0.0,-1.0
19,0.0,-1.0
20,-1.0,-1.0
21,1.0,-1.0
22,2.0,-6.0
23,-1.0,5.0
24,-1.0,-2.0
25,1.0,-2.0
26,0.0,-1.0
27,0.0,-1.0
28,-1.0,-1.0
29,1.0,15.0
30,0.0,-2.0
31,0.0,-1.0
32,0.0,-2.0
33,1.0,-2.0
34,-1.0,-5.0
35,0.0,3.0
36,0.0,-3.0
37,0.0,-3.0
38,0.0,2.0
39,0.0,3.0
40,0.0,-2.0
41,0.0,-1.0
42,-1.0,1.0
43,2.0,4.0
44,1.0,3.0
45,-3.0,10.0
46,2.0,2.0
47,0.0,-3.0
48,-1.0,-4.0
49,2.0,2.0
50,-2.0,-8.0
51,0.0,1.0
52,-1.0,5.0
53,0.0,4.0
54,1.0,3.0
55,0.0,-1.0
56,0.0,-1.0
57,-1.0,-4.0
58,2.0,3.0
59,-1.0,-1.0
60,0.0,-1.0
61,0.0,-1.0
62,0.0,0.0
63,0.0,-5.0
64,0.0,-3.0
65,0.0,-3.0
66,0.0,2.0
67,0.0,3.0
68,0.0,3.0
69,0.0,6.0
70,0.0,-4.0
71,0.0,-4.0
72,0.0,3.0
73,1.0,1.0
74,-2.0,1.0
75,-1.0,-1.0
76,2.0,-3.0
77,0.0,-2.0
78,0.0,-2.0
79,-0.0,7.0
80,-1.0,1.0
81,0.0,-1.0
82,1.0,-4.0
83,0.0,-1.0
84,0.0,-2.0
85,0.0,-3.0
86,0.0,2.0
87,1.0,3.0
88,-1.0,6.0
89,-1.0,-3.0
90,0.0,-4.0
91,0.0,-4.0
92,3.0,11.0
