,note length,pitch
0,0.0,-1.0
1,0.0,1.0
2,2.0,-1.0
3,-2.0,1.0
4,0.0,-1.0
5,2.0,0.0
6,-2.0,0.0
7,0.0,0.0
8,1.0,0.0
9,-1.0,3.0
10,2.0,0.0
11,-0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,-0.0,0.0
16,1.0,-9.0
17,-1.0,9.0
18,0.0,-8.0
19,0.0,8.0
20,0.0,-6.0
21,-1.0,6.0
22,1.0,-5.0
23,-1.0,5.0
24,0.0,-3.0
25,0.0,3.0
26,-1.0,0.0
27,0.0,0.0
28,1.0,0.0
29,0.0,0.0
30,1.0,0.0
31,-1.0,0.0
32,-1.0,0.0
33,1.0,0.0
34,0.0,0.0
35,-1.0,0.0
36,0.0,0.0
37,0.0,-1.0
38,-0.0,3.0
39,0.0,-3.0
40,0.0,3.0
41,1.0,-3.0
42,-0.0,3.0
43,-0.0,-1.0
44,0.0,-4.0
45,0.0,-4.0
46,-1.0,-4.0
47,0.0,1.0
48,1.0,0.0
49,1.0,0.0
50,-1.0,0.0
51,-1.0,10.0
52,0.0,-3.0
53,0.0,-4.0
54,1.0,-3.0
55,-1.0,2.0
56,1.0,1.0
57,0.0,4.0
58,0.0,-6.0
59,0.0,3.0
60,0.0,5.0
61,0.0,-2.0
62,1.0,-2.0
63,-2.0,-3.0
64,1.0,1.0
65,1.0,2.0
66,-3.0,0.0
67,0.0,2.0
68,0.0,1.0
69,0.0,1.0
70,0.0,1.0
71,0.0,-1.0
72,0.0,-2.0
73,0.0,-2.0
74,0.0,-2.0
75,0.0,-2.0
76,-0.0,-1.0
77,0.0,1.0
78,1.0,-1.0
79,2.0,7.0
80,-2.0,-2.0
81,0.0,3.0
82,0.0,-2.0
83,-1.0,-3.0
84,0.0,-1.0
85,0.0,-2.0
86,0.0,0.0
87,0.0,-3.0
88,1.0,-2.0
89,0.0,5.0
90,0.0,5.0
91,0.0,5.0
92,0.0,2.0
93,0.0,-2.0
