,index,note length,pitch
0,1,-1.0,-3.0
1,3,0.0,1.0
2,5,1.0,-3.0
3,7,-1.0,-2.0
4,9,-1.0,14.0
5,11,2.0,2.0
6,13,-2.0,-2.0
7,15,1.0,-7.0
8,17,-1.0,5.0
9,19,0.0,-1.0
10,21,1.0,-4.0
11,23,-1.0,-5.0
12,25,0.0,-2.0
13,27,2.0,-1.0
14,29,2.0,8.0
15,31,-3.0,5.0
16,33,0.0,2.0
17,35,0.0,-2.0
18,37,2.0,-5.0
19,39,-1.0,5.0
20,41,-1.0,-1.0
21,43,2.0,-4.0
22,45,-2.0,-3.0
23,47,1.0,3.0
24,49,0.0,0.0
25,51,-2.0,-8.0
26,53,0.0,3.0
27,55,2.0,3.0
28,57,-1.0,4.0
29,59,1.0,2.0
30,61,-1.0,3.0
31,63,2.0,2.0
32,65,-1.0,-5.0
33,67,-2.0,2.0
34,69,0.0,1.0
35,71,0.0,-3.0
36,73,0.0,-4.0
37,75,2.0,-2.0
38,77,-1.0,2.0
39,79,-1.0,-4.0
40,81,2.0,1.0
41,83,-0.0,8.0
42,85,-1.0,0.0
43,87,-1.0,0.0
44,89,0.0,2.0
45,91,-0.0,-4.0
46,93,0.0,-1.0
47,95,3.0,-2.0
48,97,-3.0,6.0
49,99,0.0,-1.0
50,101,3.0,2.0
51,103,-2.0,-2.0
52,105,-1.0,0.0
53,107,0.0,-1.0
54,109,0.0,-2.0
55,111,0.0,-2.0
56,113,0.0,-1.0
57,115,0.0,-2.0
58,117,0.0,-2.0
59,119,1.0,-3.0
60,121,-1.0,1.0
61,123,0.0,1.0
62,125,1.0,3.0
63,127,-1.0,2.0
64,129,1.0,5.0
65,131,0.0,-2.0
66,133,1.0,-3.0
67,135,-1.0,-2.0
68,137,0.0,-2.0
69,139,1.0,5.0
70,141,0.0,2.0
71,143,-2.0,1.0
72,145,2.0,1.0
73,147,0.0,1.0
74,149,0.0,2.0
75,151,-1.0,-4.0
76,153,0.0,1.0
77,155,2.0,-4.0
78,157,-3.0,-6.0
79,159,0.0,2.0
80,161,0.0,3.0
81,163,1.0,1.0
82,165,0.0,2.0
83,167,0.0,1.0
84,169,1.0,1.0
85,171,0.0,5.0
86,173,-1.0,-7.0
87,175,0.0,2.0
88,177,2.0,-4.0
89,179,-2.0,-7.0
90,181,0.0,3.0
91,183,0.0,1.0
92,185,0.0,3.0
93,187,0.0,2.0
94,189,-0.0,1.0
95,191,-1.0,-3.0
96,193,-1.0,4.0
97,195,0.0,2.0
98,197,3.0,-1.0
99,199,-2.0,-2.0
100,201,0.0,-3.0
101,203,0.0,-5.0
102,205,-0.0,-2.0
103,207,0.0,-5.0
104,209,2.0,3.0
105,211,-3.0,18.0
106,213,0.0,-1.0
107,215,1.0,-1.0
108,217,0.0,-2.0
109,219,0.0,-1.0
110,221,0.0,-2.0
111,223,0.0,-1.0
112,225,0.0,-3.0
113,227,0.0,-1.0
114,229,0.0,-2.0
115,231,0.0,-1.0
116,233,0.0,3.0
117,235,1.0,3.0
118,237,1.0,4.0
119,239,-1.0,-11.0
120,241,-1.0,11.0
121,243,0.0,1.0
122,245,0.0,-1.0
123,247,0.0,-2.0
124,249,0.0,-3.0
125,251,0.0,-3.0
126,253,1.0,-1.0
127,255,0.0,5.0
128,257,1.0,0.0
129,259,-2.0,-5.0
130,261,1.0,-2.0
131,263,0.0,7.0
132,265,0.0,-6.0
133,267,0.0,6.0
134,269,-1.0,-5.0
135,271,2.0,5.0
136,273,-2.0,0.0
137,275,0.0,0.0
138,277,-2.0,4.0
139,279,1.0,1.0
140,281,1.0,-1.0
141,283,0.0,-4.0
142,285,0.0,0.0
143,287,0.0,0.0
144,289,-1.0,0.0
145,291,1.0,0.0
146,293,-1.0,5.0
147,295,0.0,2.0
148,297,0.0,-2.0
149,299,-0.0,-2.0
150,301,2.0,-3.0
151,303,-0.0,0.0
152,305,-1.0,0.0
153,307,0.0,0.0
154,309,-0.0,4.0
155,311,0.0,1.0
156,313,0.0,-1.0
157,315,2.0,-4.0
158,317,-1.0,-1.0
159,319,-1.0,1.0
160,321,2.0,0.0
161,323,-2.0,0.0
162,325,2.0,0.0
163,327,0.0,0.0
164,329,-2.0,-2.0
165,331,1.0,6.0
166,333,0.0,-4.0
167,335,2.0,0.0
168,337,-2.0,9.0
169,339,1.0,-9.0
170,341,-2.0,0.0
171,343,0.0,2.0
172,345,0.0,3.0
173,347,1.0,2.0
174,349,-1.0,0.0
175,351,1.0,2.0
176,353,-2.0,-2.0
177,355,2.0,2.0
178,357,-2.0,-2.0
179,359,0.0,2.0
180,361,1.0,-4.0
181,363,1.0,-5.0
182,365,1.0,0.0
183,367,-1.0,11.0
184,369,-1.0,-2.0
185,371,0.0,-2.0
186,373,0.0,-1.0
187,375,0.0,-1.0
188,377,0.0,-1.0
189,379,0.0,-2.0
190,381,1.0,-1.0
191,383,-1.0,3.0
192,385,0.0,-2.0
193,387,1.0,-2.0
194,389,-2.0,-2.0
195,391,0.0,1.0
196,393,0.0,3.0
197,395,0.0,7.0
198,397,1.0,-2.0
199,399,0.0,-1.0
200,401,0.0,-1.0
201,403,0.0,-5.0
202,405,-0.0,2.0
203,407,2.0,2.0
204,409,-2.0,1.0
205,411,0.0,-3.0
206,413,3.0,-2.0
207,415,-3.0,0.0
208,417,0.0,2.0
209,419,1.0,2.0
210,421,-1.0,3.0
211,423,1.0,5.0
212,425,-1.0,-3.0
213,427,1.0,1.0
214,429,-2.0,-1.0
215,431,-1.0,-1.0
216,433,1.0,-1.0
217,435,-1.0,-2.0
218,437,0.0,-1.0
219,439,0.0,-2.0
220,441,1.0,-2.0
221,443,0.0,-1.0
222,445,1.0,-1.0
223,447,-2.0,5.0
224,449,2.0,6.0
225,451,-1.0,-2.0
226,453,-1.0,2.0
227,455,1.0,-1.0
228,457,0.0,-4.0
229,459,0.0,-2.0
230,461,0.0,-2.0
231,463,0.0,-2.0
232,465,0.0,-1.0
233,467,0.0,3.0
234,469,1.0,2.0
235,471,1.0,3.0
236,473,-2.0,2.0
237,475,1.0,2.0
238,477,-2.0,-5.0
239,479,0.0,2.0
240,481,0.0,-4.0
241,483,0.0,1.0
242,485,0.0,-4.0
243,487,0.0,1.0
244,489,-0.0,-5.0
245,491,1.0,2.0
246,493,-1.0,-4.0
247,495,0.0,1.0
248,497,1.0,1.0
249,499,0.0,9.0
250,501,0.0,0.0
251,503,1.0,-3.0
252,505,-2.0,3.0
253,507,0.0,-3.0
254,509,1.0,1.0
255,511,0.0,-5.0
256,513,-1.0,3.0
257,515,1.0,1.0
258,517,-1.0,-4.0
259,519,0.0,3.0
260,521,0.0,-3.0
261,523,1.0,2.0
262,525,-1.0,8.0
263,527,0.0,0.0
264,529,1.0,-4.0
265,531,1.0,-3.0
266,533,-0.0,0.0
267,535,-2.0,4.0
268,537,0.0,1.0
269,539,0.0,-1.0
270,541,1.0,-4.0
271,543,-1.0,-5.0
272,545,2.0,5.0
273,547,-2.0,-3.0
274,549,0.0,3.0
275,551,0.0,2.0
276,553,0.0,-5.0
277,555,3.0,3.0
278,557,-2.0,-5.0
279,559,1.0,-2.0
280,561,-0.0,7.0
281,563,-2.0,-10.0
282,565,2.0,2.0
283,567,-2.0,5.0
284,569,0.0,3.0
285,571,0.0,2.0
286,573,0.0,-5.0
287,575,3.0,3.0
288,577,-2.0,-5.0
289,579,1.0,-2.0
290,581,-1.0,7.0
291,583,-2.0,-10.0
292,585,3.0,2.0
293,587,-2.0,10.0
294,589,0.0,3.0
