,index,note length,pitch
0,1,2.0,12.0
1,3,-1.0,-12.0
2,5,1.0,12.0
3,7,-1.0,-2.0
4,9,0.0,4.0
5,11,0.0,-4.0
6,13,1.0,0.0
7,15,-2.0,2.0
8,17,0.0,2.0
9,19,0.0,-2.0
10,21,0.0,-2.0
11,23,2.0,4.0
12,25,-1.0,-9.0
13,27,0.0,5.0
14,29,0.0,4.0
15,31,2.0,-4.0
16,33,-2.0,-5.0
17,35,0.0,0.0
18,37,1.0,5.0
19,39,-1.0,0.0
20,41,0.0,0.0
21,43,0.0,2.0
22,45,2.0,2.0
23,47,-0.0,-9.0
24,49,-2.0,0.0
25,51,0.0,5.0
26,53,0.0,0.0
27,55,0.0,0.0
28,57,1.0,2.0
29,59,1.0,1.0
30,61,-2.0,-1.0
31,63,1.0,-2.0
32,65,0.0,2.0
33,67,-1.0,2.0
34,69,0.0,-2.0
35,71,2.0,-2.0
36,73,-2.0,0.0
37,75,0.0,2.0
38,77,0.0,3.0
39,79,2.0,-3.0
40,81,-1.0,-2.0
41,83,0.0,-2.0
42,85,0.0,-3.0
43,87,0.0,-5.0
44,89,0.0,-2.0
45,91,2.0,7.0
46,93,-2.0,-7.0
47,95,0.0,7.0
48,97,3.0,-8.0
49,99,-4.0,3.0
50,101,0.0,2.0
51,103,0.0,2.0
52,105,0.0,3.0
53,107,0.0,-3.0
54,109,0.0,1.0
55,111,3.0,4.0
56,113,-3.0,-1.0
57,115,0.0,2.0
58,117,0.0,-1.0
59,119,0.0,-1.0
60,121,0.0,1.0
61,123,0.0,7.0
62,125,3.0,-7.0
63,127,-4.0,1.0
64,129,0.0,-1.0
65,131,0.0,-2.0
66,133,0.0,-1.0
67,135,0.0,3.0
68,137,0.0,3.0
69,139,0.0,3.0
70,141,1.0,-1.0
71,143,-1.0,-1.0
72,145,0.0,1.0
73,147,0.0,6.0
74,149,2.0,-1.0
75,151,1.0,-1.0
76,153,0.0,-11.0
77,155,-1.0,0.0
78,157,0.0,3.0
79,159,1.0,4.0
80,161,-1.0,-5.0
81,163,2.0,3.0
82,165,-2.0,-3.0
83,167,0.0,1.0
84,169,0.0,-3.0
85,171,1.0,0.0
86,173,-2.0,-6.0
87,175,1.0,1.0
88,177,-1.0,2.0
89,179,0.0,-2.0
90,181,0.0,-1.0
91,183,2.0,1.0
92,185,-2.0,-1.0
93,187,0.0,1.0
94,189,0.0,7.0
95,191,1.0,-2.0
96,193,0.0,-1.0
97,195,0.0,1.0
98,197,-1.0,4.0
99,199,3.0,1.0
100,201,-1.0,-1.0
101,203,1.0,-1.0
102,205,-2.0,-2.0
103,207,2.0,-1.0
104,209,-2.0,1.0
105,211,0.0,-1.0
106,213,0.0,-2.0
107,215,0.0,7.0
108,217,0.0,2.0
109,219,0.0,-2.0
110,221,0.0,-2.0
111,223,-0.0,2.0
112,225,0.0,-2.0
113,227,0.0,2.0
114,229,0.0,-4.0
115,231,2.0,1.0
116,233,-2.0,3.0
117,235,0.0,2.0
118,237,1.0,2.0
119,239,-2.0,-4.0
120,241,0.0,2.0
121,243,0.0,2.0
122,245,0.0,3.0
123,247,4.0,-3.0
124,249,-1.0,10.0
125,251,-2.0,-6.0
126,253,2.0,1.0
127,255,-1.0,-1.0
128,257,-1.0,-1.0
129,259,1.0,0.0
130,261,-1.0,-2.0
131,263,2.0,-3.0
132,265,-3.0,-6.0
133,267,0.0,-1.0
134,269,0.0,-2.0
135,271,0.0,-3.0
136,273,3.0,3.0
137,275,-4.0,-5.0
138,277,0.0,2.0
139,279,0.0,2.0
140,281,0.0,-4.0
141,283,1.0,5.0
142,285,0.0,2.0
143,287,0.0,5.0
144,289,3.0,-5.0
145,291,-2.0,5.0
146,293,0.0,-2.0
147,295,0.0,5.0
148,297,0.0,-4.0
149,299,1.0,1.0
150,301,-1.0,-4.0
151,303,0.0,-4.0
152,305,0.0,-4.0
153,307,0.0,7.0
154,309,0.0,-2.0
155,311,1.0,0.0
156,313,-2.0,-3.0
157,315,0.0,3.0
158,317,0.0,4.0
159,319,0.0,5.0
160,321,1.0,-2.0
161,323,0.0,0.0
162,325,1.0,3.0
163,327,-1.0,-3.0
164,329,0.0,-2.0
165,331,-1.0,-2.0
166,333,1.0,2.0
167,335,-1.0,-2.0
168,337,4.0,2.0
169,339,-3.0,1.0
170,341,-1.0,-1.0
171,343,1.0,-2.0
172,345,0.0,-3.0
173,347,0.0,-2.0
174,349,0.0,2.0
175,351,-1.0,-2.0
176,353,3.0,2.0
177,355,-3.0,-2.0
178,357,2.0,2.0
179,359,0.0,4.0
180,361,-1.0,-9.0
181,363,1.0,-7.0
182,365,-1.0,3.0
183,367,-1.0,2.0
184,369,-1.0,-2.0
185,371,1.0,2.0
186,373,-1.0,-2.0
187,375,2.0,2.0
188,377,-1.0,2.0
189,379,0.0,-2.0
190,381,-1.0,-3.0
191,383,2.0,2.0
192,385,-2.0,3.0
193,387,2.0,5.0
194,389,0.0,-2.0
195,391,-1.0,2.0
196,393,1.0,3.0
197,395,0.0,-3.0
198,397,1.0,3.0
199,399,-3.0,-3.0
200,401,0.0,-5.0
201,403,0.0,3.0
202,405,1.0,2.0
203,407,-1.0,0.0
204,409,0.0,3.0
205,411,0.0,-6.0
206,413,-0.0,1.0
207,415,1.0,2.0
208,417,-1.0,-2.0
209,419,2.0,2.0
210,421,-2.0,-2.0
211,423,2.0,2.0
212,425,-1.0,9.0
213,427,1.0,-2.0
214,429,1.0,-7.0
215,431,-3.0,0.0
216,433,0.0,1.0
217,435,0.0,-1.0
218,437,0.0,-3.0
219,439,0.0,3.0
220,441,1.0,3.0
221,443,-1.0,2.0
222,445,1.0,2.0
223,447,-1.0,-4.0
224,449,1.0,-3.0
225,451,-1.0,-3.0
226,453,0.0,8.0
227,455,0.0,4.0
228,457,0.0,-2.0
229,459,1.0,-4.0
230,461,1.0,2.0
231,463,-2.0,2.0
232,465,1.0,-2.0
233,467,0.0,-2.0
234,469,2.0,1.0
235,471,-2.0,-4.0
236,473,2.0,-5.0
237,475,-2.0,5.0
238,477,0.0,1.0
239,479,0.0,-1.0
240,481,0.0,-5.0
241,483,0.0,2.0
242,485,0.0,2.0
