,index,note length,pitch
0,1,0.0,4.0
1,3,-1.0,1.0
2,5,0.0,-2.0
3,7,0.0,1.0
4,9,0.0,-4.0
5,11,1.0,-3.0
6,13,1.0,0.0
7,15,-1.0,6.0
8,17,1.0,-3.0
9,19,-2.0,2.0
10,21,0.0,-2.0
11,23,1.0,-3.0
12,25,-1.0,0.0
13,27,-2.0,6.0
14,29,0.0,1.0
15,31,2.0,1.0
16,33,-1.0,-2.0
17,35,1.0,1.0
18,37,0.0,-4.0
19,39,1.0,-3.0
20,41,-2.0,3.0
21,43,0.0,2.0
22,45,0.0,-2.0
23,47,0.0,-3.0
24,49,2.0,-5.0
25,51,0.0,5.0
26,53,-0.0,3.0
27,55,-1.0,4.0
28,57,0.0,-4.0
29,59,0.0,-3.0
30,61,0.0,-5.0
31,63,0.0,4.0
32,65,1.0,8.0
33,67,-1.0,-2.0
34,69,0.0,-2.0
35,71,0.0,-1.0
36,73,1.0,-2.0
37,75,-2.0,-2.0
38,77,1.0,2.0
39,79,0.0,2.0
40,81,0.0,1.0
41,83,0.0,-3.0
42,85,-1.0,2.0
43,87,0.0,1.0
44,89,0.0,-1.0
45,91,0.0,-2.0
46,93,1.0,-2.0
47,95,0.0,-2.0
48,97,0.0,-1.0
49,99,0.0,3.0
50,101,0.0,2.0
51,103,2.0,3.0
52,105,-3.0,2.0
53,107,0.0,1.0
54,109,1.0,1.0
55,111,0.0,0.0
56,113,0.0,3.0
57,115,0.0,-2.0
58,117,0.0,-1.0
59,119,0.0,-2.0
60,121,0.0,-2.0
61,123,0.0,-1.0
62,125,0.0,-1.0
63,127,-1.0,-3.0
64,129,1.0,2.0
65,131,0.0,-2.0
66,133,0.0,-3.0
67,135,0.0,-2.0
68,137,0.0,-1.0
69,139,0.0,9.0
70,141,0.0,-1.0
71,143,0.0,-2.0
72,145,0.0,-1.0
73,147,0.0,-2.0
74,149,-1.0,10.0
75,151,0.0,1.0
76,153,1.0,-3.0
77,155,-1.0,2.0
78,157,0.0,2.0
79,159,0.0,-2.0
80,161,0.0,-2.0
81,163,0.0,-2.0
82,165,1.0,-1.0
83,167,-1.0,0.0
84,169,0.0,3.0
85,171,0.0,2.0
86,173,1.0,1.0
87,175,0.0,1.0
88,177,0.0,1.0
89,179,0.0,1.0
90,181,0.0,1.0
91,183,0.0,-7.0
92,185,0.0,-3.0
93,187,0.0,-3.0
94,189,1.0,4.0
95,191,-1.0,1.0
96,193,1.0,1.0
97,195,-3.0,-2.0
98,197,3.0,2.0
99,199,-3.0,-2.0
100,201,0.0,2.0
101,203,1.0,-3.0
102,205,-2.0,-4.0
103,207,0.0,4.0
104,209,0.0,2.0
105,211,1.0,1.0
106,213,-1.0,-1.0
107,215,2.0,-2.0
108,217,-1.0,-6.0
109,219,0.0,4.0
110,221,1.0,2.0
111,223,-1.0,2.0
112,225,0.0,-2.0
113,227,0.0,-2.0
114,229,2.0,-4.0
115,231,-1.0,-1.0
116,233,0.0,5.0
117,235,-1.0,2.0
118,237,0.0,1.0
119,239,0.0,1.0
120,241,0.0,1.0
121,243,2.0,-1.0
122,245,1.0,-2.0
123,247,-0.0,0.0
124,249,-1.0,9.0
125,251,2.0,3.0
126,253,-3.0,-4.0
127,255,0.0,-1.0
128,257,0.0,2.0
129,259,0.0,-2.0
130,261,0.0,-1.0
131,263,2.0,-1.0
132,265,-1.0,-5.0
133,267,-1.0,2.0
134,269,0.0,1.0
135,271,0.0,-1.0
136,273,0.0,-2.0
137,275,3.0,2.0
138,277,-3.0,6.0
139,279,1.0,1.0
140,281,0.0,1.0
141,283,-2.0,-2.0
142,285,0.0,2.0
143,287,0.0,-2.0
144,289,2.0,-1.0
145,291,0.0,3.0
146,293,-2.0,-1.0
147,295,0.0,-2.0
148,297,2.0,-1.0
149,299,-0.0,4.0
150,301,0.0,-5.0
151,303,0.0,-2.0
152,305,-1.0,-3.0
153,307,0.0,1.0
154,309,1.0,1.0
155,311,0.0,-3.0
156,313,0.0,-1.0
157,315,0.0,-2.0
158,317,1.0,-1.0
159,319,-1.0,8.0
160,321,0.0,2.0
161,323,1.0,1.0
162,325,0.0,-3.0
163,327,0.0,0.0
164,329,-1.0,-3.0
165,331,-2.0,-5.0
166,333,0.0,3.0
167,335,0.0,1.0
168,337,1.0,1.0
169,339,0.0,2.0
170,341,0.0,1.0
171,343,0.0,2.0
172,345,-0.0,2.0
173,347,0.0,-2.0
174,349,0.0,-1.0
175,351,0.0,-1.0
176,353,0.0,-1.0
177,355,1.0,-2.0
178,357,-1.0,-3.0
179,359,0.0,1.0
180,361,-1.0,2.0
181,363,1.0,4.0
182,365,1.0,9.0
183,367,-1.0,-1.0
184,369,-1.0,1.0
185,371,4.0,1.0
186,373,-3.0,-1.0
187,375,2.0,-6.0
188,377,-0.0,0.0
189,379,-1.0,-4.0
190,381,-1.0,-8.0
191,383,0.0,3.0
192,385,0.0,2.0
193,387,2.0,2.0
194,389,-1.0,1.0
195,391,0.0,2.0
196,393,0.0,1.0
197,395,0.0,1.0
198,397,0.0,1.0
199,399,-1.0,-1.0
200,401,0.0,-1.0
201,403,0.0,-3.0
202,405,0.0,3.0
203,407,0.0,1.0
204,409,0.0,-4.0
205,411,1.0,0.0
206,413,1.0,0.0
207,415,-2.0,-5.0
208,417,0.0,3.0
209,419,-1.0,1.0
210,421,0.0,0.0
