,index,note length,pitch
0,1,0.0,5.0
1,3,0.0,0.0
2,5,0.0,5.0
3,7,0.0,0.0
4,9,1.0,-2.0
5,11,0.0,-8.0
6,13,-0.0,-1.0
7,15,-1.0,1.0
8,17,0.0,3.0
9,19,0.0,2.0
10,21,-1.0,3.0
11,23,1.0,2.0
12,25,0.0,-2.0
13,27,1.0,-1.0
14,29,0.0,-5.0
15,31,-2.0,-2.0
16,33,0.0,1.0
17,35,0.0,1.0
18,37,0.0,3.0
19,39,0.0,3.0
20,41,0.0,1.0
21,43,1.0,-1.0
22,45,-1.0,5.0
23,47,0.0,-6.0
24,49,0.0,-2.0
25,51,0.0,-3.0
26,53,0.0,6.0
27,55,0.0,1.0
28,57,0.0,1.0
29,59,0.0,-3.0
30,61,2.0,-4.0
31,63,-3.0,-5.0
32,65,1.0,2.0
33,67,-1.0,2.0
34,69,0.0,1.0
35,71,0.0,1.0
36,73,1.0,1.0
37,75,-1.0,-3.0
38,77,0.0,-4.0
39,79,0.0,-2.0
40,81,0.0,-3.0
41,83,1.0,3.0
42,85,0.0,17.0
43,87,0.0,1.0
44,89,0.0,2.0
45,91,1.0,-2.0
46,93,-1.0,-1.0
47,95,1.0,-2.0
48,97,0.0,-1.0
49,99,-1.0,-2.0
50,101,1.0,-1.0
51,103,-0.0,1.0
52,105,1.0,-2.0
53,107,-1.0,-1.0
54,109,1.0,-1.0
55,111,-2.0,-1.0
56,113,2.0,-1.0
57,115,-1.0,-2.0
58,117,1.0,-1.0
59,119,-1.0,1.0
60,121,0.0,-1.0
61,123,0.0,-5.0
62,125,0.0,4.0
63,127,0.0,6.0
64,129,2.0,2.0
65,131,-3.0,-12.0
66,133,0.0,1.0
67,135,2.0,2.0
68,137,-0.0,4.0
69,139,-2.0,1.0
70,141,1.0,2.0
71,143,0.0,2.0
72,145,0.0,1.0
73,147,-1.0,2.0
74,149,3.0,1.0
75,151,-2.0,-12.0
76,153,0.0,3.0
77,155,0.0,1.0
78,157,-1.0,2.0
79,159,2.0,2.0
80,161,-2.0,1.0
81,163,2.0,2.0
82,165,-2.0,1.0
83,167,2.0,1.0
84,169,1.0,1.0
85,171,-1.0,-12.0
86,173,-2.0,2.0
87,175,1.0,1.0
88,177,-1.0,4.0
89,179,1.0,3.0
90,181,-1.0,2.0
91,183,3.0,2.0
92,185,-2.0,-13.0
93,187,-1.0,1.0
94,189,1.0,2.0
95,191,0.0,2.0
96,193,0.0,3.0
97,195,1.0,2.0
98,197,-1.0,2.0
99,199,-1.0,2.0
100,201,2.0,1.0
101,203,-1.0,1.0
102,205,1.0,-3.0
103,207,0.0,-4.0
104,209,1.0,-1.0
105,211,-3.0,3.0
106,213,1.0,1.0
107,215,0.0,-1.0
108,217,0.0,-1.0
109,219,-1.0,12.0
110,221,1.0,1.0
111,223,0.0,1.0
112,225,2.0,-1.0
113,227,-2.0,-12.0
114,229,0.0,-1.0
115,231,1.0,-1.0
116,233,-1.0,9.0
117,235,1.0,4.0
118,237,1.0,-3.0
119,239,-2.0,-18.0
120,241,-1.0,16.0
121,243,1.0,-1.0
122,245,-1.0,-10.0
123,247,0.0,2.0
124,249,0.0,7.0
125,251,0.0,-5.0
126,253,0.0,2.0
127,255,2.0,1.0
128,257,-1.0,-5.0
129,259,0.0,-21.0
130,261,-1.0,7.0
131,263,1.0,1.0
132,265,-1.0,1.0
133,267,0.0,4.0
134,269,0.0,1.0
135,271,0.0,6.0
136,273,0.0,5.0
137,275,1.0,-5.0
138,277,-1.0,5.0
139,279,0.0,3.0
140,281,2.0,1.0
141,283,-1.0,-1.0
142,285,0.0,-3.0
143,287,0.0,-3.0
144,289,0.0,-5.0
145,291,0.0,-2.0
146,293,0.0,-2.0
147,295,0.0,-7.0
148,297,1.0,-2.0
149,299,-1.0,2.0
150,301,-0.0,5.0
151,303,0.0,1.0
152,305,1.0,1.0
153,307,-1.0,5.0
154,309,0.0,3.0
155,311,0.0,2.0
156,313,0.0,2.0
157,315,0.0,1.0
158,317,0.0,2.0
159,319,0.0,2.0
160,321,0.0,-2.0
161,323,0.0,-1.0
162,325,0.0,-1.0
163,327,0.0,-1.0
164,329,1.0,-3.0
165,331,-1.0,-1.0
166,333,0.0,-3.0
167,335,2.0,-1.0
168,337,-1.0,-4.0
169,339,-1.0,-3.0
170,341,0.0,0.0
171,343,1.0,-1.0
172,345,-0.0,7.0
173,347,-1.0,2.0
174,349,0.0,3.0
175,351,1.0,4.0
176,353,-1.0,1.0
177,355,0.0,-5.0
178,357,0.0,-3.0
179,359,0.0,-4.0
180,361,0.0,5.0
181,363,0.0,2.0
182,365,0.0,2.0
183,367,0.0,-4.0
184,369,0.0,2.0
185,371,0.0,-5.0
186,373,1.0,2.0
187,375,-1.0,2.0
188,377,0.0,3.0
189,379,0.0,2.0
190,381,0.0,-7.0
191,383,0.0,-4.0
192,385,-0.0,4.0
193,387,0.0,1.0
194,389,0.0,-2.0
195,391,0.0,1.0
196,393,1.0,-3.0
197,395,0.0,-6.0
198,397,0.0,4.0
199,399,0.0,-5.0
200,401,-1.0,4.0
201,403,1.0,2.0
202,405,0.0,5.0
203,407,-1.0,7.0
204,409,0.0,-2.0
205,411,1.0,-1.0
206,413,-1.0,-7.0
207,415,0.0,3.0
208,417,0.0,4.0
209,419,0.0,-1.0
210,421,0.0,-2.0
211,423,1.0,-2.0
212,425,1.0,-3.0
213,427,-1.0,3.0
214,429,0.0,1.0
215,431,0.0,-3.0
216,433,-1.0,2.0
217,435,1.0,-3.0
218,437,-1.0,-9.0
219,439,1.0,-2.0
220,441,-0.0,21.0
221,443,0.0,-15.0
222,445,0.0,1.0
223,447,0.0,2.0
224,449,0.0,1.0
225,451,0.0,2.0
226,453,0.0,2.0
227,455,0.0,1.0
228,457,0.0,-3.0
229,459,0.0,5.0
230,461,0.0,2.0
231,463,1.0,1.0
232,465,-1.0,2.0
233,467,0.0,4.0
234,469,0.0,-1.0
235,471,1.0,-1.0
236,473,0.0,-13.0
237,475,0.0,7.0
238,477,0.0,-11.0
239,479,-1.0,6.0
