,index,note length,pitch
0,1,0.0,1.0
1,3,2.0,-1.0
2,5,-1.0,-1.0
3,7,0.0,-2.0
4,9,0.0,-3.0
5,11,-1.0,-5.0
6,13,3.0,5.0
7,15,-1.0,10.0
8,17,-2.0,-2.0
9,19,0.0,2.0
10,21,1.0,-2.0
11,23,0.0,-2.0
12,25,0.0,1.0
13,27,3.0,0.0
14,29,-3.0,-2.0
15,31,0.0,2.0
16,33,1.0,-2.0
17,35,-1.0,1.0
18,37,0.0,1.0
19,39,1.0,0.0
20,41,-1.0,-2.0
21,43,0.0,2.0
22,45,1.0,-2.0
23,47,0.0,-2.0
24,49,2.0,-3.0
25,51,-2.0,-5.0
26,53,0.0,3.0
27,55,0.0,4.0
28,57,2.0,-5.0
29,59,-2.0,10.0
30,61,-1.0,-1.0
31,63,0.0,-3.0
32,65,0.0,-3.0
33,67,1.0,3.0
34,69,0.0,-1.0
35,71,-1.0,-2.0
36,73,0.0,-1.0
37,75,0.0,3.0
38,77,2.0,-2.0
39,79,-2.0,7.0
40,81,0.0,5.0
41,83,1.0,2.0
42,85,-1.0,1.0
43,87,1.0,-8.0
44,89,0.0,1.0
45,91,-2.0,2.0
46,93,0.0,2.0
47,95,0.0,-2.0
48,97,0.0,-2.0
49,99,-0.0,2.0
50,101,0.0,2.0
51,103,0.0,-2.0
52,105,1.0,-2.0
53,107,-1.0,2.0
54,109,0.0,2.0
55,111,0.0,-2.0
56,113,0.0,-2.0
57,115,0.0,-1.0
58,117,0.0,-4.0
59,119,3.0,-3.0
60,121,-3.0,2.0
61,123,1.0,5.0
62,125,0.0,-2.0
63,127,0.0,-5.0
64,129,2.0,-2.0
65,131,-3.0,9.0
66,133,0.0,2.0
67,135,0.0,-2.0
68,137,1.0,-2.0
69,139,-1.0,-2.0
70,141,0.0,-3.0
71,143,3.0,-5.0
72,145,-4.0,8.0
73,147,0.0,1.0
74,149,0.0,-2.0
75,151,0.0,-3.0
76,153,1.0,1.0
77,155,0.0,2.0
78,157,0.0,3.0
79,159,0.0,2.0
