,note length,pitch
0,0.0,1.0
1,0.0,2.0
2,0.0,3.0
3,0.0,-5.0
4,0.0,4.0
5,0.0,1.0
6,1.0,-2.0
7,0.0,-3.0
8,-1.0,0.0
9,-1.0,3.0
10,0.0,2.0
11,2.0,-2.0
12,0.0,-3.0
13,1.0,-2.0
14,-1.0,-5.0
15,0.0,-2.0
16,2.0,4.0
17,-3.0,-5.0
18,0.0,-1.0
19,0.0,-1.0
20,1.0,6.0
21,0.0,-1.0
22,0.0,-1.0
23,-2.0,11.0
24,0.0,-3.0
25,0.0,-1.0
26,3.0,-1.0
27,-3.0,-5.0
28,0.0,11.0
29,0.0,1.0
30,0.0,-1.0
31,3.0,-1.0
32,-3.0,-5.0
33,0.0,-1.0
34,3.0,-1.0
35,-3.0,-2.0
36,0.0,-3.0
37,-1.0,4.0
38,2.0,1.0
39,-2.0,-1.0
40,2.0,1.0
41,-1.0,-2.0
42,0.0,-3.0
43,0.0,5.0
44,0.0,-2.0
45,3.0,-3.0
46,-2.0,0.0
47,0.0,-14.0
48,-1.0,3.0
49,1.0,5.0
50,0.0,2.0
51,0.0,2.0
52,-0.0,3.0
53,0.0,5.0
54,-2.0,2.0
55,0.0,2.0
56,3.0,2.0
57,-4.0,0.0
58,0.0,4.0
59,0.0,1.0
60,4.0,-2.0
61,-3.0,-3.0
62,0.0,-1.0
63,-1.0,7.0
64,3.0,1.0
65,-2.0,-8.0
66,2.0,-1.0
67,-3.0,2.0
68,0.0,1.0
69,2.0,2.0
70,-1.0,-3.0
71,0.0,3.0
72,0.0,-3.0
73,-2.0,1.0
74,1.0,2.0
75,-1.0,-3.0
76,-1.0,2.0
77,0.0,1.0
78,2.0,-3.0
79,-2.0,-1.0
80,2.0,1.0
81,-2.0,-1.0
82,4.0,1.0
83,-4.0,-2.0
84,0.0,2.0
85,1.0,-1.0
86,-1.0,-1.0
87,0.0,-1.0
88,0.0,-1.0
89,3.0,-3.0
90,-1.0,-2.0
91,-1.0,-3.0
92,0.0,-2.0
93,-0.0,-2.0
94,1.0,1.0
95,1.0,1.0
96,1.0,2.0
97,-2.0,0.0
98,0.0,2.0
99,0.0,2.0
100,0.0,1.0
101,1.0,2.0
102,-3.0,-1.0
103,4.0,1.0
104,-4.0,-3.0
105,1.0,-6.0
106,2.0,12.0
107,-2.0,-1.0
108,-1.0,-2.0
109,0.0,-12.0
110,-1.0,10.0
111,4.0,2.0
112,-1.0,-3.0
113,-1.0,-2.0
114,0.0,-2.0
115,-0.0,10.0
116,4.0,2.0
117,-3.0,-5.0
118,-1.0,-21.0
119,0.0,12.0
120,2.0,2.0
121,-1.0,1.0
122,0.0,1.0
123,1.0,1.0
124,-2.0,-1.0
125,0.0,1.0
126,1.0,1.0
127,0.0,1.0
128,-1.0,0.0
129,2.0,2.0
130,-2.0,2.0
131,0.0,2.0
132,-1.0,1.0
133,0.0,2.0
134,-0.0,0.0
135,2.0,1.0
136,-2.0,-1.0
137,0.0,-1.0
138,2.0,-1.0
139,-1.0,-7.0
140,-0.0,7.0
141,-1.0,2.0
142,0.0,1.0
143,0.0,-3.0
144,0.0,0.0
145,0.0,-2.0
146,0.0,0.0
147,0.0,2.0
148,4.0,5.0
149,-3.0,0.0
150,0.0,-3.0
151,-1.0,-7.0
152,2.0,2.0
153,-2.0,-2.0
154,0.0,-2.0
155,3.0,-1.0
156,0.0,0.0
