,index,note length,pitch
0,1,1.0,-9.0
1,3,-2.0,-3.0
2,5,2.0,3.0
3,7,0.0,-3.0
4,9,0.0,0.0
5,11,-2.0,3.0
6,13,0.0,-3.0
7,15,0.0,3.0
8,17,1.0,-3.0
9,19,0.0,0.0
10,21,-1.0,15.0
11,23,0.0,-1.0
12,25,1.0,-2.0
13,27,-2.0,-2.0
14,29,1.0,-1.0
15,31,1.0,-2.0
16,33,-1.0,-4.0
17,35,0.0,-1.0
18,37,1.0,-2.0
19,39,-1.0,12.0
20,41,-1.0,-14.0
21,43,2.0,5.0
22,45,-2.0,-3.0
23,47,1.0,3.0
24,49,-0.0,-3.0
25,51,-1.0,9.0
26,53,0.0,3.0
27,55,0.0,2.0
28,57,0.0,-2.0
29,59,0.0,2.0
30,61,0.0,-2.0
31,63,0.0,2.0
32,65,0.0,-2.0
33,67,1.0,3.0
34,69,1.0,-3.0
35,71,-1.0,-3.0
36,73,0.0,3.0
37,75,0.0,0.0
38,77,0.0,0.0
39,79,0.0,2.0
40,81,0.0,-2.0
41,83,0.0,2.0
42,85,0.0,-2.0
43,87,0.0,3.0
44,89,0.0,-3.0
45,91,0.0,2.0
46,93,1.0,-2.0
47,95,0.0,-3.0
48,97,1.0,-2.0
49,99,1.0,3.0
50,101,-3.0,-5.0
51,103,0.0,1.0
52,105,2.0,-1.0
53,107,-1.0,-2.0
54,109,2.0,2.0
55,111,0.0,-2.0
56,113,0.0,3.0
57,115,-1.0,-1.0
58,117,-1.0,-2.0
59,119,0.0,-3.0
60,121,2.0,5.0
61,123,-0.0,-2.0
62,125,1.0,7.0
63,127,-3.0,-4.0
64,129,0.0,-1.0
65,131,0.0,-2.0
66,133,1.0,2.0
67,135,-1.0,-2.0
68,137,1.0,-3.0
69,139,-2.0,-1.0
70,141,2.0,1.0
71,143,-1.0,3.0
72,145,1.0,12.0
73,147,0.0,-3.0
74,149,-2.0,-6.0
75,151,0.0,-1.0
76,153,0.0,-2.0
77,155,0.0,-3.0
78,157,0.0,5.0
79,159,0.0,-5.0
80,161,0.0,6.0
81,163,0.0,-6.0
82,165,0.0,3.0
83,167,0.0,-3.0
84,169,0.0,6.0
85,171,0.0,-6.0
86,173,0.0,5.0
87,175,1.0,-2.0
