,note length,pitch
0,-1.0,2.0
1,0.0,-2.0
2,1.4,2.0
3,-1.6,0.0
4,0.4,-3.0
5,0.0,1.0
6,0.0,3.0
7,0.4,4.0
8,0.0,0.0
9,0.8,0.0
10,-0.6,-1.0
11,-0.6,-4.0
12,0.0,3.0
13,-1.0,0.0
14,0.8,-3.0
15,-1.0,3.0
16,0.0,4.0
17,2.4,3.0
18,-2.0,-3.0
19,0.0,1.0
20,1.2,2.0
21,-2.0,-3.0
22,0.8,-2.0
23,0.0,2.0
24,0.0,1.0
25,0.0,0.0
26,0.0,-3.0
27,-1.0,-4.0
28,0.0,-3.0
29,2.8,-5.0
30,-2.0,7.0
31,0.0,0.0
32,-0.6,0.0
33,0.0,1.0
34,-0.6,3.0
35,0.0,3.0
36,0.8,3.0
37,0.8,2.0
38,-2.0,-4.0
39,0.0,-3.0
40,0.0,-5.0
41,0.0,-4.0
42,0.8,2.0
43,0.4,2.0
44,-1.6,1.0
45,0.8,2.0
46,0.0,-5.0
47,1.4,-2.0
48,-3.6,6.0
49,0.8,1.0
50,-1.0,-3.0
51,0.0,-3.0
52,0.0,-2.0
53,2.0,-1.0
54,1.2,-1.0
55,-2.6,0.0
56,2.4,7.0
57,-2.2,-3.0
58,0.0,1.0
59,0.0,3.0
60,-0.6,4.0
61,0.4,3.0
62,0.0,0.0
63,-2.2,0.0
64,2.8,0.0
65,-0.2,-3.0
66,-1.0,-1.0
67,0.0,3.0
68,0.8,-4.0
69,0.4,4.0
70,-1.6,0.0
71,0.8,-4.0
72,0.0,-3.0
73,0.8,5.0
74,-1.0,0.0
75,-1.6,6.0
76,0.0,1.0
77,0.0,2.0
78,0.0,-2.0
79,1.2,-5.0
80,0.2,3.0
81,0.0,-5.0
82,0.0,2.0
83,-1.0,1.0
84,2.2,-3.0
85,-2.4,-8.0
86,0.0,1.0
87,0.8,1.0
88,-1.0,1.0
89,0.0,1.0
90,1.4,4.0
91,-1.6,-4.0
92,0.0,-3.0
93,1.8,2.0
94,-2.4,0.0
95,0.0,1.0
96,0.0,2.0
97,1.2,4.0
98,-1.0,4.0
99,0.0,1.0
100,1.4,-4.0
101,-1.6,-3.0
102,0.8,-5.0
103,0.0,-4.0
104,-0.6,2.0
105,0.0,2.0
106,0.0,1.0
107,1.4,3.0
108,-1.0,-1.0
109,-1.0,-3.0
110,0.0,3.0
111,0.8,5.0
112,-1.0,0.0
113,0.0,0.0
114,0.8,-4.0
115,0.4,2.0
116,-1.6,-2.0
117,1.4,2.0
118,-0.6,-9.0
119,-1.0,2.0
120,0.8,2.0
121,1.4,3.0
122,-2.2,0.0
123,0.0,2.0
124,0.0,-2.0
125,0.4,5.0
126,0.0,2.0
127,-1.0,0.0
128,0.0,-2.0
129,0.8,-4.0
130,0.0,-8.0
131,1.4,2.0
132,-2.2,-2.0
133,0.0,3.0
134,0.0,1.0
135,0.0,1.0
136,2.2,3.0
137,-1.8,2.0
138,0.0,-8.0
139,0.4,-3.0
140,-0.6,1.0
141,-1.4,0.0
142,0.0,3.0
143,0.0,4.0
144,0.0,3.0
145,1.2,-1.0
146,1.4,-4.0
147,-2.6,-3.0
148,0.0,3.0
149,0.0,4.0
150,2.2,3.0
151,-1.4,-1.0
152,0.0,-1.0
153,0.4,-3.0
154,-0.8,-7.0
155,-1.2,3.0
156,0.0,4.0
157,0.0,3.0
158,0.0,-3.0
159,1.2,2.0
160,1.4,-4.0
161,-2.2,-3.0
162,0.0,-4.0
163,-1.0,4.0
164,0.0,3.0
165,1.4,-4.0
166,-1.0,-3.0
167,0.0,3.0
168,-0.4,4.0
169,1.4,-5.0
170,-0.6,5.0
171,-1.0,-6.0
172,0.8,4.0
173,0.8,-2.0
174,-2.0,-5.0
175,0.0,5.0
176,0.0,2.0
177,0.0,1.0
178,0.0,4.0
179,0.0,-4.0
180,0.0,-1.0
181,0.4,-2.0
182,1.4,-5.0
183,-2.0,5.0
184,1.6,2.0
185,-0.4,-1.0
186,1.4,-4.0
187,-3.0,0.0
188,0.0,1.0
189,0.0,4.0
190,0.0,3.0
191,0.0,2.0
192,1.4,2.0
193,-0.6,-2.0
194,0.0,-2.0
195,-1.0,6.0
196,2.2,1.0
197,-1.4,-3.0
198,0.8,1.0
199,0.0,-3.0
200,-2.0,-8.0
201,0.0,1.0
202,0.0,3.0
203,0.0,4.0
204,0.8,3.0
205,-1.0,2.0
206,0.0,-2.0
207,0.0,-3.0
208,0.0,-4.0
209,0.0,-3.0
210,0.0,-3.0
211,2.8,5.0
212,-3.0,3.0
213,0.0,1.0
214,0.0,-1.0
215,2.2,7.0
216,-1.4,-2.0
217,-1.0,-3.0
218,0.0,-5.0
219,0.8,-2.0
220,0.0,-2.0
221,0.0,3.0
222,0.0,4.0
223,-1.0,-4.0
224,0.0,-1.0
225,0.8,-2.0
226,0.8,4.0
227,-2.0,3.0
228,0.0,-1.0
229,0.0,-1.0
230,0.0,-1.0
231,0.0,-2.0
232,0.0,-1.0
233,0.8,-2.0
234,0.4,2.0
235,-1.6,-2.0
236,2.2,-2.0
237,0.0,0.0
