,note length,pitch
0,3.4,2.0
1,-4.6,-3.0
2,1.4,3.0
3,-0.6,-2.0
4,-1.0,1.0
5,4.4,1.0
6,-3.6,0.0
7,0.0,-3.0
8,0.0,3.0
9,2.4,-2.0
10,-1.6,-4.0
11,0.0,-1.0
12,-0.2,4.0
13,1.0,4.0
14,-2.0,-2.0
15,0.4,1.0
16,0.2,-2.0
17,0.8,-3.0
18,-2.6,5.0
19,1.4,1.0
20,0.4,-2.0
21,0.0,-5.0
22,0.0,2.0
23,0.0,5.0
24,-2.0,-2.0
25,2.2,1.0
26,-1.4,-2.0
27,0.0,-3.0
28,0.4,6.0
29,0.4,-1.0
30,-0.6,0.0
31,0.0,0.0
32,-0.2,0.0
33,0.2,0.0
34,-0.2,0.0
35,0.0,0.0
36,-0.6,0.0
37,0.6,-2.0
38,-1.4,2.0
39,0.0,-2.0
40,0.0,-3.0
41,-0.2,-2.0
42,0.0,-3.0
43,0.4,-2.0
44,-1.2,-2.0
45,1.0,-3.0
46,-1.2,5.0
47,0.0,2.0
48,0.0,3.0
49,0.0,2.0
50,0.0,3.0
51,0.0,2.0
52,-0.2,2.0
53,3.0,3.0
54,-2.0,-5.0
55,-1.0,-4.0
56,0.0,-1.0
57,0.0,-2.0
58,0.0,-3.0
59,0.4,-2.0
60,-1.6,-3.0
61,0.0,-2.0
62,1.4,-2.0
63,-0.6,2.0
64,0.0,3.0
65,0.0,4.0
66,0.8,5.0
67,-1.0,5.0
68,0.0,-3.0
69,0.0,1.0
70,0.8,2.0
71,-0.8,2.0
72,0.0,0.0
73,0.4,-2.0
74,0.0,2.0
75,-1.0,0.0
76,0.0,-2.0
77,0.0,2.0
78,0.8,-2.0
79,-1.0,-2.0
80,0.0,-2.0
81,0.8,-2.0
82,-1.0,6.0
83,0.0,-2.0
84,0.0,-2.0
85,0.8,-2.0
86,-1.0,-4.0
87,0.8,-2.0
88,-1.0,14.0
89,0.8,-2.0
90,-1.0,0.0
91,1.4,2.0
92,-1.6,-2.0
93,1.4,2.0
94,-0.6,-2.0
95,-1.0,2.0
96,0.0,-2.0
97,0.0,-2.0
98,0.6,-2.0
99,-1.0,-2.0
100,0.0,5.0
101,0.0,1.0
102,0.6,-2.0
103,0.0,-2.0
104,0.0,-2.0
105,0.0,-4.0
106,0.0,-2.0
107,0.0,2.0
108,-0.6,-2.0
109,0.0,-2.0
110,0.0,-2.0
111,0.8,-2.0
112,-1.0,8.0
113,0.0,-2.0
114,0.0,-2.0
115,0.4,-2.0
116,0.0,-2.0
117,0.8,6.0
118,-1.4,-2.0
119,0.0,-2.0
120,0.0,-2.0
121,0.8,-3.0
122,1.4,-1.0
123,-2.6,3.0
124,0.0,1.0
125,-0.2,3.0
126,0.0,1.0
127,0.0,3.0
128,0.0,4.0
129,-0.2,5.0
130,0.0,2.0
131,0.0,2.0
132,0.0,3.0
133,0.0,-2.0
134,0.0,-1.0
135,1.8,-1.0
