,note length,pitch
0,0.8,-2.0
1,-1.0,-1.0
2,0.0,-2.0
3,0.0,-2.0
4,0.8,-3.0
5,-1.0,0.0
6,0.0,1.0
7,0.8,-1.0
8,-1.0,3.0
9,0.8,-5.0
10,-2.0,-2.0
11,2.2,-5.0
12,-1.4,9.0
13,0.0,1.0
14,0.8,2.0
15,-1.0,-2.0
16,0.8,-2.0
17,-1.0,-3.0
18,1.4,2.0
19,-0.6,-2.0
20,-1.0,8.0
21,0.0,3.0
22,0.0,0.0
23,0.0,-2.0
24,0.0,-1.0
25,0.0,-1.0
26,0.0,-2.0
27,1.2,-1.0
28,0.0,-3.0
29,-0.4,-1.0
30,-1.0,-1.0
31,1.4,8.0
32,-1.6,-2.0
33,0.0,-2.0
34,0.8,1.0
35,-1.0,1.0
36,0.6,2.0
37,-0.4,-2.0
38,0.0,2.0
39,-0.6,-2.0
40,0.8,7.0
41,-1.0,-1.0
42,0.8,1.0
43,-0.6,0.0
44,0.4,0.0
45,-1.0,-1.0
46,0.0,1.0
47,0.0,-1.0
48,0.0,-2.0
49,0.0,-1.0
50,0.4,1.0
51,-1.0,0.0
52,1.4,-1.0
53,-1.0,1.0
54,0.0,5.0
55,0.0,-2.0
56,0.0,-1.0
57,0.0,-2.0
58,0.8,-2.0
59,-1.0,-2.0
60,0.8,-2.0
61,-1.0,-3.0
62,0.0,2.0
63,0.8,-2.0
64,-2.0,2.0
65,0.8,1.0
66,0.0,1.0
67,0.0,3.0
68,0.0,0.0
69,0.8,0.0
70,-1.0,-14.0
71,-1.0,10.0
72,0.8,-1.0
73,0.0,-2.0
74,0.0,5.0
75,0.8,2.0
76,0.0,-3.0
77,0.2,3.0
78,0.4,5.0
79,0.0,0.0
80,-0.6,0.0
81,-0.6,-9.0
82,-1.0,-3.0
83,0.0,2.0
84,0.0,9.0
85,0.0,3.0
86,0.0,-1.0
87,0.4,-1.0
88,-1.6,-1.0
89,2.4,-1.0
90,-0.6,-1.0
91,-1.0,3.0
92,0.4,-4.0
93,-1.0,-4.0
94,1.4,3.0
95,0.8,8.0
96,0.0,-3.0
97,-0.6,-3.0
98,-1.6,-1.0
99,0.4,1.0
100,-1.0,-4.0
101,0.8,-1.0
102,-0.6,-1.0
103,0.8,-3.0
104,-0.6,-1.0
105,0.8,8.0
106,-1.6,-2.0
107,0.0,-2.0
108,0.8,1.0
109,0.0,0.0
110,0.0,15.0
111,-0.6,-2.0
112,1.4,-1.0
113,-1.0,3.0
114,-1.0,-2.0
115,0.8,-2.0
116,-1.0,-5.0
117,0.0,9.0
118,0.0,-1.0
119,0.0,-1.0
120,1.4,-1.0
121,-1.0,-2.0
122,0.0,-2.0
123,-0.6,-2.0
124,0.0,-1.0
125,0.0,-2.0
126,0.8,-2.0
127,-1.0,-5.0
128,1.4,3.0
129,-1.6,-1.0
130,1.2,-2.0
131,0.8,11.0
132,-2.4,3.0
133,-1.0,-3.0
134,0.4,1.0
135,0.0,4.0
136,0.0,-4.0
137,1.4,-5.0
138,0.4,-2.0
139,-1.6,14.0
140,0.0,-1.0
141,0.4,-1.0
142,-0.6,-10.0
143,0.4,5.0
144,0.4,4.0
145,-1.0,-4.0
146,0.0,-1.0
147,0.0,-2.0
148,0.0,-1.0
149,0.0,-3.0
150,0.8,-1.0
151,-1.0,1.0
152,0.8,2.0
153,-1.0,-2.0
154,0.4,2.0
155,-0.6,-2.0
156,1.4,7.0
157,-1.6,0.0
158,0.0,3.0
159,0.0,-1.0
160,0.4,-2.0
161,-1.6,-3.0
162,0.8,3.0
163,0.0,-7.0
164,0.4,-1.0
165,-1.0,3.0
166,1.4,-4.0
167,0.0,-1.0
168,-1.0,-2.0
169,-1.0,2.0
170,2.2,-2.0
171,-1.4,5.0
172,0.8,4.0
173,-1.0,3.0
174,0.8,-4.0
175,-2.0,7.0
176,2.2,2.0
177,-1.4,-3.0
178,1.2,1.0
179,-0.4,-6.0
180,0.0,10.0
181,-0.6,-2.0
182,0.4,-1.0
183,-1.0,-2.0
184,0.8,-1.0
185,-1.0,-3.0
186,0.4,2.0
187,-0.6,-3.0
188,0.2,-2.0
189,1.2,-2.0
190,-2.6,-1.0
191,1.8,1.0
192,-1.0,2.0
193,1.4,-5.0
194,-0.6,0.0
195,0.0,5.0
196,-0.6,4.0
197,0.0,1.0
198,-0.6,-1.0
199,1.2,1.0
200,-1.4,-6.0
201,0.4,1.0
202,-0.6,-4.0
203,0.0,1.0
204,0.0,-1.0
205,0.0,1.0
206,-0.4,-4.0
207,0.0,0.0
