,index,note length,pitch
0,1,0.0,-2.0
1,3,0.0,-3.0
2,5,-0.0,-2.0
3,7,-0.0,-5.0
4,9,-2.0,4.0
5,11,0.0,1.0
6,13,0.0,-1.0
7,15,0.0,-1.0
8,17,2.0,-3.0
9,19,-3.0,2.0
10,21,2.0,2.0
11,23,-2.0,-2.0
12,25,3.0,2.0
13,27,0.0,-7.0
14,29,-1.0,12.0
15,31,-1.0,-2.0
16,33,0.0,-5.0
17,35,0.0,1.0
18,37,2.0,-3.0
19,39,-1.0,-3.0
20,41,0.0,-1.0
21,43,1.0,18.0
22,45,-1.0,-1.0
23,47,-1.0,-1.0
24,49,1.0,-3.0
25,51,0.0,-1.0
26,53,0.0,-1.0
27,55,-1.0,-4.0
28,57,0.0,1.0
29,59,1.0,-4.0
30,61,-1.0,-1.0
31,63,1.0,1.0
32,65,-1.0,2.0
33,67,0.0,3.0
34,69,1.0,4.0
35,71,0.0,3.0
36,73,-1.0,-5.0
37,75,0.0,1.0
38,77,1.0,-1.0
39,79,-0.0,-5.0
40,81,-1.0,-5.0
41,83,1.0,3.0
42,85,0.0,2.0
43,87,-1.0,-6.0
44,89,0.0,1.0
45,91,2.0,3.0
46,93,-2.0,-5.0
47,95,0.0,1.0
48,97,0.0,1.0
49,99,0.0,3.0
50,101,0.0,2.0
51,103,1.0,1.0
52,105,-2.0,-6.0
53,107,1.0,5.0
54,109,0.0,1.0
55,111,0.0,-3.0
56,113,0.0,2.0
57,115,0.0,-2.0
58,117,1.0,-3.0
59,119,-1.0,5.0
60,121,0.0,-2.0
61,123,2.0,2.0
62,125,-2.0,-5.0
63,127,0.0,3.0
64,129,0.0,2.0
65,131,1.0,1.0
66,133,-0.0,-1.0
67,135,0.0,1.0
68,137,0.0,-3.0
69,139,0.0,2.0
70,141,0.0,-2.0
71,143,1.0,-3.0
72,145,-1.0,7.0
73,147,0.0,-2.0
74,149,-1.0,-3.0
75,151,0.0,2.0
76,153,0.0,-4.0
77,155,0.0,-4.0
78,157,2.0,2.0
79,159,0.0,-1.0
80,161,-1.0,3.0
81,163,-1.0,3.0
82,165,0.0,3.0
83,167,1.0,-4.0
84,169,2.0,-2.0
85,171,-2.0,-1.0
86,173,0.0,1.0
87,175,0.0,2.0
88,177,0.0,1.0
89,179,0.0,1.0
90,181,1.0,1.0
91,183,-1.0,3.0
92,185,0.0,1.0
93,187,1.0,2.0
94,189,0.0,1.0
95,191,-1.0,2.0
96,193,1.0,1.0
97,195,-1.0,3.0
98,197,2.0,1.0
99,199,-0.0,-4.0
100,201,-2.0,-5.0
101,203,2.0,5.0
102,205,0.0,0.0
103,207,0.0,0.0
104,209,0.0,0.0
105,211,0.0,0.0
106,213,0.0,0.0
107,215,0.0,0.0
108,217,-1.0,0.0
109,219,-1.0,-5.0
110,221,1.0,-4.0
111,223,0.0,-3.0
112,225,0.0,3.0
113,227,0.0,1.0
114,229,0.0,1.0
115,231,1.0,1.0
116,233,-1.0,-1.0
117,235,0.0,1.0
118,237,-0.0,-1.0
119,239,1.0,1.0
120,241,0.0,0.0
121,243,0.0,-1.0
122,245,0.0,-2.0
123,247,0.0,-3.0
124,249,-0.0,9.0
125,251,-0.0,-2.0
126,253,-1.0,-5.0
127,255,1.0,1.0
128,257,-1.0,-3.0
129,259,0.0,-1.0
130,261,1.0,-4.0
131,263,-1.0,-5.0
132,265,0.0,6.0
133,267,0.0,1.0
134,269,3.0,-2.0
135,271,-3.0,12.0
136,273,1.0,2.0
137,275,0.0,3.0
138,277,-1.0,-5.0
139,279,0.0,1.0
140,281,0.0,-1.0
141,283,1.0,-5.0
142,285,2.0,-2.0
143,287,-2.0,-3.0
144,289,-1.0,5.0
145,291,2.0,1.0
146,293,-1.0,-1.0
147,295,0.0,1.0
148,297,0.0,-3.0
149,299,-1.0,2.0
150,301,1.0,1.0
151,303,0.0,-3.0
152,305,0.0,3.0
153,307,-1.0,2.0
154,309,1.0,1.0
155,311,0.0,-1.0
156,313,0.0,-5.0
157,315,0.0,3.0
