,note length,pitch
0,0.0,5.0
1,0.0,3.0
2,0.0,2.0
3,0.0,2.0
4,-0.6,-4.0
5,2.8,2.0
6,-1.4,0.0
7,-1.6,-2.0
8,1.8,2.0
9,-2.0,-10.0
10,0.0,5.0
11,0.4,3.0
12,0.0,2.0
13,0.0,1.0
14,2.2,-1.0
15,-3.0,-2.0
16,1.8,2.0
17,-1.0,-2.0
18,0.8,3.0
19,-1.0,0.0
20,-1.0,-3.0
21,0.8,2.0
22,0.4,-1.0
23,-0.6,-1.0
24,0.0,-2.0
25,-1.0,2.0
26,0.0,-1.0
27,0.0,-2.0
28,0.4,-1.0
29,0.0,3.0
30,0.0,3.0
31,2.0,5.0
32,-2.6,-2.0
33,0.0,2.0
34,1.8,-5.0
35,-1.0,2.0
36,-1.0,-4.0
37,1.4,2.0
38,-1.6,-2.0
39,0.0,-3.0
40,0.0,-7.0
41,0.0,-2.0
42,0.0,2.0
43,0.0,-2.0
44,0.0,4.0
45,0.0,-7.0
46,0.8,3.0
47,0.0,22.0
48,0.0,1.0
49,0.0,-2.0
50,0.8,-2.0
51,-0.6,-1.0
52,-0.6,-2.0
53,-1.0,-2.0
54,2.2,-2.0
55,-1.4,-1.0
56,0.0,-2.0
57,0.0,-1.0
58,-1.0,3.0
59,0.8,-4.0
60,-1.0,0.0
61,0.0,-1.0
62,1.8,-1.0
63,-0.6,-2.0
64,-0.6,1.0
65,-1.0,8.0
66,0.8,2.0
67,0.4,-2.0
68,-0.6,-3.0
69,-1.0,9.0
70,0.0,-1.0
71,1.4,-1.0
72,-0.2,2.0
73,-0.4,2.0
74,0.0,-4.0
75,-1.0,-1.0
76,0.0,1.0
77,0.0,-1.0
78,0.0,-1.0
79,0.8,-1.0
80,0.0,-2.0
81,0.0,1.0
82,0.0,2.0
83,0.0,1.0
84,0.0,2.0
85,0.0,2.0
86,0.0,3.0
87,0.0,-1.0
88,0.0,-2.0
89,0.0,1.0
90,-1.0,-9.0
91,0.8,3.0
92,0.0,2.0
93,0.0,1.0
94,0.0,-1.0
95,0.0,-2.0
96,0.0,-3.0
97,1.2,1.0
98,-2.4,-8.0
99,0.0,2.0
100,0.0,5.0
101,1.8,-2.0
102,-1.0,0.0
103,0.0,5.0
104,0.0,3.0
105,0.0,4.0
106,1.8,-2.0
107,-0.6,0.0
108,0.0,0.0
109,-1.0,-3.0
110,-1.6,-5.0
111,1.8,8.0
112,0.8,0.0
113,-2.6,-2.0
114,0.0,-3.0
115,0.0,-5.0
116,1.4,-2.0
117,-1.0,-2.0
118,0.8,16.0
119,-1.0,-2.0
120,1.2,-2.0
121,-2.4,-1.0
122,0.0,-1.0
123,0.0,3.0
124,0.0,-3.0
125,0.8,-1.0
126,0.0,-2.0
127,0.2,-2.0
128,0.0,1.0
129,-1.6,-2.0
130,0.8,-1.0
131,-1.0,3.0
132,0.8,3.0
133,0.0,2.0
134,0.8,1.0
135,-0.6,-1.0
136,-1.6,-2.0
137,1.8,-2.0
138,-0.6,-1.0
139,1.2,-2.0
140,-3.0,3.0
141,0.0,-5.0
142,0.0,6.0
143,0.0,3.0
144,1.4,-1.0
145,-1.6,-2.0
146,0.0,-1.0
147,0.0,-1.0
148,0.0,-1.0
149,0.0,2.0
150,0.0,-3.0
151,0.0,2.0
152,-0.4,2.0
153,0.0,1.0
154,0.0,1.0
155,0.8,2.0
156,-1.0,2.0
157,0.0,3.0
158,0.8,-1.0
159,-1.0,-2.0
160,0.6,-2.0
161,0.0,2.0
162,0.0,2.0
163,2.0,-2.0
164,-2.6,-3.0
165,0.0,0.0
166,0.8,-5.0
167,0.0,-4.0
168,-1.0,-5.0
169,0.0,2.0
170,-1.2,1.0
171,0.0,2.0
172,0.8,2.0
173,-1.0,2.0
174,0.0,1.0
175,0.0,2.0
176,0.0,2.0
177,0.0,1.0
178,0.0,2.0
179,0.0,1.0
180,1.8,1.0
181,-2.0,-2.0
182,0.0,1.0
183,0.8,-1.0
184,2.8,-2.0
185,-2.4,4.0
186,0.0,-2.0
187,0.0,3.0
188,-1.0,-1.0
189,0.0,-1.0
190,0.0,-1.0
191,2.4,-1.0
192,-2.0,0.0
193,0.0,-4.0
194,0.0,-1.0
195,0.8,-1.0
196,0.2,-2.0
197,-1.0,-5.0
198,0.0,-3.0
199,0.4,10.0
200,0.0,3.0
201,0.0,4.0
202,0.0,3.0
203,0.0,2.0
204,0.8,2.0
205,-1.0,-2.0
206,0.0,-1.0
207,0.0,-2.0
208,0.0,-1.0
209,-1.0,-9.0
210,0.8,3.0
211,-1.2,2.0
212,0.8,1.0
213,0.0,-1.0
214,0.0,-2.0
215,-1.0,-3.0
216,0.8,1.0
217,0.0,-8.0
218,-0.6,2.0
219,0.0,5.0
220,1.4,-2.0
221,-1.6,6.0
222,0.0,-3.0
223,0.0,2.0
224,-0.6,-2.0
225,0.8,2.0
226,-1.0,-2.0
227,0.4,2.0
228,0.0,-5.0
229,0.0,3.0
230,0.4,2.0
231,0.6,-2.0
232,-0.8,2.0
233,0.0,-2.0
234,0.0,2.0
235,0.0,0.0
236,0.0,0.0
237,-1.0,-2.0
238,0.8,2.0
239,0.0,0.0
240,0.0,1.0
241,0.0,-6.0
242,0.8,3.0
243,-0.6,2.0
244,0.8,-5.0
245,-2.6,1.0
246,0.0,4.0
247,0.0,3.0
248,0.0,3.0
249,0.4,-6.0
250,0.0,1.0
251,0.0,3.0
252,-1.6,-3.0
253,0.0,1.0
254,0.8,-1.0
255,0.0,-1.0
256,0.0,-1.0
257,0.0,-1.0
258,0.0,-1.0
259,0.0,-1.0
260,0.0,4.0
261,0.0,-2.0
262,0.0,-2.0
263,0.0,-1.0
264,0.4,-1.0
265,-1.6,-1.0
266,0.0,-4.0
267,0.8,0.0
268,0.0,-1.0
269,-1.0,-1.0
270,0.8,-1.0
271,0.0,3.0
272,0.0,4.0
273,0.0,3.0
274,0.0,4.0
275,0.0,-2.0
276,0.0,1.0
277,0.0,-2.0
278,0.0,1.0
279,0.0,-2.0
280,0.0,1.0
281,0.0,-2.0
282,0.8,-1.0
283,0.0,3.0
284,-0.6,9.0
285,0.0,0.0
286,0.0,-1.0
287,-0.8,-3.0
288,1.4,-4.0
289,-1.6,4.0
290,1.6,0.0
291,-1.0,-4.0
292,1.4,-4.0
293,0.0,3.0
294,-1.0,1.0
295,0.8,4.0
296,-0.6,5.0
297,-0.6,3.0
298,0.0,-10.0
299,0.8,-2.0
300,0.0,2.0
301,-1.0,2.0
302,0.4,8.0
303,-0.6,-9.0
304,0.0,-1.0
305,0.0,-2.0
306,0.8,2.0
307,-1.0,-2.0
308,0.4,-3.0
309,-2.0,9.0
310,0.0,1.0
311,0.0,-1.0
312,1.0,-1.0
313,0.0,-1.0
314,0.0,-2.0
315,0.0,1.0
316,0.4,3.0
317,-1.6,-5.0
318,1.4,3.0
319,-0.6,-1.0
320,0.0,-4.0
321,0.4,-3.0
322,-0.6,4.0
323,0.0,3.0
324,0.0,4.0
325,0.2,3.0
326,-1.0,2.0
327,2.2,2.0
328,-2.8,-3.0
329,0.0,1.0
330,0.8,-4.0
331,0.0,-1.0
332,0.4,-1.0
333,-1.6,-1.0
334,1.2,-3.0
335,0.0,-2.0
336,-0.6,4.0
337,0.0,-12.0
338,0.0,2.0
339,0.0,5.0
340,0.8,-2.0
341,-0.6,2.0
342,-0.6,1.0
343,0.6,-3.0
344,-0.4,9.0
345,-0.6,3.0
346,0.0,2.0
347,0.0,0.0
348,-1.0,1.0
349,0.0,-1.0
350,0.8,1.0
351,0.0,-1.0
352,1.2,-2.0
353,-1.4,-3.0
354,1.2,-2.0
355,-1.4,-4.0
356,1.4,-1.0
357,-0.6,-17.0
358,-2.6,7.0
359,0.0,3.0
360,0.0,4.0
361,1.2,-10.0
362,-1.0,3.0
363,0.0,3.0
364,0.0,4.0
365,2.8,-5.0
366,-1.0,-8.0
367,-1.6,5.0
368,0.0,3.0
369,0.0,4.0
370,0.6,-7.0
371,-1.0,3.0
372,0.0,4.0
373,0.0,3.0
374,2.6,-8.0
375,-2.4,-9.0
376,0.0,7.0
377,0.0,5.0
378,0.4,-7.0
379,0.0,4.0
380,0.0,3.0
381,-1.4,3.0
382,0.8,4.0
383,-1.0,-2.0
384,0.8,-2.0
385,-1.0,-3.0
386,0.8,-1.0
387,0.0,8.0
388,0.8,-4.0
389,-1.0,3.0
390,0.0,-7.0
391,0.0,4.0
392,0.0,3.0
393,0.4,-2.0
394,-0.6,2.0
395,-1.0,1.0
396,0.0,2.0
397,1.4,2.0
398,-0.6,5.0
399,0.0,-5.0
400,0.0,-2.0
401,0.0,-2.0
402,0.0,4.0
403,0.0,-4.0
404,0.0,4.0
405,0.0,-3.0
406,0.0,4.0
407,0.0,-2.0
408,0.0,-2.0
409,0.0,-1.0
410,0.0,-2.0
411,0.0,-1.0
412,0.0,-2.0
413,0.0,-1.0
414,0.0,-2.0
415,0.0,1.0
416,0.0,2.0
417,0.0,2.0
418,0.0,2.0
419,0.0,1.0
420,0.0,2.0
421,1.8,2.0
422,-1.0,3.0
423,0.2,-3.0
424,0.0,1.0
425,0.0,4.0
426,1.8,-2.0
427,-0.8,0.0
428,-2.6,-3.0
429,1.2,-4.0
430,0.0,-3.0
431,-0.6,-2.0
432,0.0,17.0
433,0.0,2.0
434,0.0,-2.0
435,0.4,-2.0
436,-0.6,-1.0
437,-0.2,-2.0
438,-1.2,-2.0
439,0.0,2.0
440,0.0,-2.0
441,0.0,-1.0
442,2.2,-1.0
443,-1.0,7.0
444,0.0,-3.0
445,0.0,-4.0
446,-1.0,-1.0
447,0.8,-2.0
448,0.0,-1.0
449,0.0,-2.0
450,0.0,-1.0
451,0.0,9.0
452,0.0,-1.0
453,0.0,-2.0
454,0.0,-2.0
455,0.0,2.0
456,0.0,2.0
457,-1.0,2.0
458,1.4,2.0
459,-1.0,1.0
460,1.8,2.0
461,0.0,1.0
462,0.2,0.0
463,-3.0,-2.0
464,0.8,2.0
465,-1.0,-5.0
466,0.0,-2.0
467,1.8,-1.0
468,-1.0,-2.0
469,0.0,-2.0
470,0.8,-1.0
471,-1.0,-2.0
472,0.8,-2.0
473,-2.0,-5.0
474,0.0,5.0
475,0.4,2.0
476,0.0,3.0
477,0.0,2.0
478,0.0,2.0
479,0.0,1.0
480,0.0,2.0
481,-0.6,2.0
482,0.0,2.0
483,0.0,1.0
484,0.0,0.0
485,2.4,2.0
486,-2.6,-2.0
487,0.0,-2.0
488,1.8,-1.0
489,-0.6,-2.0
490,-1.0,-2.0
491,0.4,-3.0
492,0.4,1.0
493,-0.6,4.0
494,-1.0,3.0
495,0.8,2.0
496,0.0,2.0
497,0.0,-2.0
498,0.8,1.0
499,-1.2,-5.0
500,-1.2,-1.0
501,0.0,1.0
502,0.0,-1.0
503,1.0,-2.0
504,0.0,-5.0
505,-1.0,2.0
506,0.8,2.0
507,0.0,-4.0
508,0.8,-3.0
509,-2.0,3.0
510,1.4,2.0
511,0.8,-2.0
512,-1.0,4.0
513,-0.6,3.0
514,0.0,2.0
515,0.8,3.0
516,-1.0,2.0
517,0.0,-2.0
518,0.0,-10.0
519,-1.0,-2.0
520,1.8,2.0
