,index,note length,pitch
0,1,0.0,2.0
1,3,0.0,-2.0
2,5,0.0,-3.0
3,7,3.0,-5.0
4,9,-2.0,-4.0
5,11,2.0,4.0
6,13,-2.0,-4.0
7,15,2.0,4.0
8,17,-1.0,-2.0
9,19,-1.0,2.0
10,21,2.0,1.0
11,23,-2.0,-1.0
12,25,1.0,-2.0
13,27,1.0,8.0
14,29,-2.0,-5.0
15,31,0.0,5.0
16,33,1.0,0.0
17,35,1.0,0.0
18,37,-1.0,-9.0
19,39,-1.0,4.0
20,41,-1.0,2.0
21,43,0.0,2.0
22,45,3.0,1.0
23,47,-4.0,0.0
24,49,0.0,2.0
25,51,1.0,-2.0
26,53,1.0,-1.0
27,55,-1.0,-2.0
28,57,2.0,5.0
29,59,-1.0,0.0
30,61,0.0,0.0
31,63,-1.0,0.0
32,65,2.0,0.0
33,67,-1.0,2.0
34,69,-0.0,-2.0
35,71,0.0,3.0
36,73,-1.0,-1.0
37,75,3.0,-2.0
38,77,-4.0,0.0
39,79,0.0,2.0
40,81,1.0,-2.0
41,83,2.0,-2.0
42,85,-2.0,2.0
43,87,-1.0,-2.0
44,89,0.0,-3.0
45,91,1.0,6.0
46,93,-1.0,-1.0
47,95,2.0,-2.0
48,97,-0.0,-2.0
49,99,-2.0,-3.0
50,101,0.0,-3.0
51,103,1.0,5.0
52,105,-1.0,-3.0
53,107,-0.0,-6.0
54,109,-1.0,2.0
55,111,0.0,2.0
56,113,1.0,2.0
57,115,-1.0,-4.0
58,117,0.0,4.0
59,119,0.0,8.0
60,121,0.0,-3.0
61,123,3.0,-5.0
62,125,-1.0,-2.0
63,127,-1.0,2.0
64,129,1.0,1.0
65,131,-1.0,-1.0
66,133,-0.0,-2.0
67,135,2.0,8.0
68,137,-1.0,0.0
69,139,-1.0,0.0
70,141,3.0,0.0
71,143,-3.0,-9.0
72,145,0.0,4.0
73,147,3.0,5.0
74,149,-3.0,0.0
75,151,-1.0,2.0
76,153,1.0,-2.0
77,155,1.0,-1.0
78,157,-1.0,-2.0
79,159,2.0,5.0
80,161,-1.0,0.0
81,163,0.0,0.0
82,165,-1.0,0.0
83,167,1.0,0.0
84,169,0.0,2.0
85,171,-0.0,-2.0
86,173,2.0,3.0
87,175,-2.0,-3.0
88,177,1.0,4.0
89,179,-1.0,-4.0
90,181,-0.0,2.0
91,183,-0.0,-2.0
92,185,2.0,5.0
93,187,-0.0,0.0
94,189,-1.0,0.0
95,191,2.0,0.0
96,193,-2.0,0.0
97,195,0.0,-4.0
98,197,1.0,-3.0
99,199,-2.0,-3.0
100,201,1.0,-5.0
101,203,2.0,3.0
102,205,-1.0,0.0
103,207,-1.0,4.0
104,209,-1.0,-4.0
105,211,2.0,4.0
106,213,-0.0,-4.0
107,215,-1.0,-3.0
108,217,1.0,2.0
109,219,0.0,0.0
