,index,note length,pitch
0,1,0.0,1.0
1,3,-0.0,-1.0
2,5,1.0,0.0
3,7,-2.0,-2.0
4,9,1.0,2.0
5,11,0.0,1.0
6,13,0.0,2.0
7,15,1.0,0.0
8,17,-2.0,-12.0
9,19,0.0,2.0
10,21,1.0,2.0
11,23,-1.0,1.0
12,25,0.0,-1.0
13,27,3.0,-1.0
14,29,-3.0,1.0
15,31,0.0,1.0
16,33,0.0,2.0
17,35,1.0,2.0
18,37,0.0,0.0
19,39,-2.0,0.0
20,41,0.0,1.0
21,43,0.0,4.0
22,45,0.0,3.0
23,47,2.0,4.0
24,49,0.0,1.0
25,51,1.0,-3.0
26,53,-2.0,-2.0
27,55,1.0,4.0
28,57,0.0,-5.0
29,59,0.0,3.0
30,61,-2.0,-3.0
31,63,0.0,1.0
32,65,0.0,-4.0
33,67,1.0,3.0
34,69,0.0,-2.0
35,71,0.0,-5.0
36,73,0.0,-4.0
37,75,0.0,-1.0
38,77,0.0,1.0
39,79,0.0,-1.0
40,81,0.0,-2.0
41,83,1.0,3.0
42,85,0.0,-4.0
43,87,1.0,3.0
44,89,-2.0,-2.0
45,91,1.0,3.0
46,93,-1.0,-4.0
47,95,2.0,3.0
48,97,-2.0,-2.0
49,99,1.0,3.0
50,101,-1.0,2.0
51,103,0.0,-3.0
52,105,2.0,3.0
53,107,0.0,-3.0
54,109,-1.0,2.0
55,111,-1.0,3.0
56,113,0.0,-1.0
57,115,0.0,3.0
58,117,1.0,3.0
59,119,-1.0,-1.0
60,121,0.0,1.0
61,123,0.0,2.0
62,125,0.0,-7.0
63,127,1.0,0.0
64,129,-1.0,0.0
65,131,1.0,0.0
66,133,-2.0,1.0
67,135,0.0,-1.0
68,137,0.0,-1.0
69,139,2.0,1.0
70,141,-1.0,2.0
71,143,3.0,1.0
72,145,-3.0,2.0
73,147,0.0,1.0
74,149,1.0,-9.0
75,151,-1.0,0.0
76,153,0.0,1.0
77,155,1.0,2.0
78,157,1.0,1.0
79,159,-2.0,-3.0
80,161,0.0,2.0
81,163,0.0,1.0
82,165,2.0,2.0
83,167,-1.0,-3.0
84,169,-1.0,-4.0
85,171,1.0,-3.0
86,173,0.0,10.0
87,175,-1.0,-4.0
88,177,0.0,0.0
89,179,1.0,-3.0
90,181,1.0,-5.0
91,183,-2.0,-1.0
92,185,-0.0,1.0
93,187,1.0,4.0
94,189,-1.0,3.0
95,191,0.0,-1.0
96,193,0.0,-2.0
97,195,0.0,1.0
98,197,0.0,4.0
99,199,0.0,3.0
100,201,0.0,4.0
101,203,0.0,-2.0
102,205,0.0,2.0
103,207,0.0,-2.0
104,209,0.0,-5.0
105,211,3.0,3.0
106,213,-3.0,-2.0
107,215,0.0,-1.0
108,217,0.0,1.0
109,219,0.0,-1.0
110,221,2.0,-4.0
111,223,-1.0,2.0
112,225,-1.0,-5.0
113,227,3.0,3.0
114,229,-2.0,-1.0
115,231,-1.0,-4.0
116,233,0.0,4.0
117,235,2.0,-1.0
118,237,-0.0,-1.0
119,239,0.0,0.0
